exit_time,net_R,cum_net_R,drawdown_R
2022-01-01 05:20:00,-1.097,-1.097,0.0
2022-01-01 13:00:00,-1.066,-2.163,-1.066
2022-01-01 21:05:00,1.265,-0.898,0.0
2022-01-02 04:45:00,-1.117,-2.015,-1.117
2022-01-02 18:30:00,-1.11,-3.125,-2.227
2022-01-03 00:55:00,-1.119,-4.244,-3.346
2022-01-03 10:00:00,-1.111,-5.355,-4.457
2022-01-03 16:05:00,-1.127,-6.482,-5.584
2022-01-03 20:20:00,2.388,-4.094,-3.196
2022-01-04 04:25:00,0.087,-4.007,-3.109
2022-01-04 18:35:00,-1.094,-5.101,-4.203
2022-01-05 02:40:00,-0.446,-5.547,-4.649
2022-01-05 11:30:00,-1.106,-6.653,-5.755
2022-01-05 19:35:00,1.542,-5.111,-4.213
2022-01-05 19:45:00,2.427,-2.684,-1.786
2022-01-06 03:50:00,0.811,-1.873,-0.975
2022-01-06 11:55:00,0.444,-1.429,-0.531
2022-01-06 12:55:00,-1.056,-2.485,-1.587
2022-01-07 03:20:00,-1.045,-3.53,-2.632
2022-01-07 11:25:00,0.173,-3.357,-2.459
2022-01-07 21:40:00,-0.344,-3.701,-2.803
2022-01-08 00:55:00,-1.089,-4.79,-3.892
2022-01-08 10:45:00,-1.155,-5.945,-5.047
2022-01-08 17:00:00,2.4,-3.545,-2.647
2022-01-08 18:00:00,2.438,-1.107,-0.209
2022-01-08 22:15:00,-1.022,-2.129,-1.231
2022-01-09 16:50:00,-1.073,-3.202,-2.304
2022-01-09 21:40:00,-1.077,-4.279,-3.381
2022-01-10 05:45:00,0.856,-3.423,-2.525
2022-01-10 12:10:00,2.376,-1.047,-0.149
2022-01-10 14:15:00,2.439,1.392,0.0
2022-01-10 14:50:00,-1.034,0.358,-1.034
2022-01-11 09:05:00,-1.071,-0.713,-2.105
2022-01-11 12:20:00,-1.085,-1.798,-3.19
2022-01-11 15:05:00,-1.087,-2.885,-4.277
2022-01-11 23:10:00,0.88,-2.005,-3.397
2022-01-12 08:10:00,0.369,-1.636,-3.028
2022-01-12 13:50:00,2.437,0.801,-0.591
2022-01-12 21:55:00,0.447,1.248,-0.144
2022-01-13 00:30:00,2.388,3.636,0.0
2022-01-13 03:05:00,-1.034,2.602,-1.034
2022-01-13 11:15:00,-1.082,1.52,-2.116
2022-01-13 15:15:00,-1.065,0.455,-3.181
2022-01-14 01:20:00,0.162,0.617,-3.019
2022-01-14 07:05:00,2.415,3.032,-0.604
2022-01-14 08:05:00,-1.046,1.986,-1.65
2022-01-14 18:30:00,0.151,2.137,-1.499
2022-01-14 21:55:00,2.355,4.492,0.0
2022-01-15 04:00:00,-1.047,3.445,-1.047
2022-01-15 10:45:00,-1.119,2.326,-2.166
2022-01-15 12:40:00,-1.071,1.255,-3.237
2022-01-15 14:35:00,-1.087,0.168,-4.324
2022-01-15 23:00:00,0.775,0.943,-3.549
2022-01-16 09:05:00,1.657,2.6,-1.892
2022-01-16 18:25:00,0.807,3.407,-1.085
2022-01-17 01:05:00,-1.087,2.32,-2.172
2022-01-17 10:35:00,1.617,3.937,-0.555
2022-01-18 02:50:00,1.385,5.322,0.0
2022-01-18 22:40:00,-1.025,4.297,-1.025
2022-01-18 23:55:00,-1.048,3.249,-2.073
2022-01-19 03:40:00,-1.039,2.21,-3.112
2022-01-19 11:45:00,0.582,2.792,-2.53
2022-01-19 23:45:00,1.6,4.392,-0.93
2022-01-20 02:50:00,-1.041,3.351,-1.971
2022-01-20 13:45:00,-1.058,2.293,-3.029
2022-01-20 21:35:00,-1.035,1.258,-4.064
2022-01-21 00:00:00,2.461,3.719,-1.603
2022-01-21 08:05:00,0.161,3.88,-1.442
2022-01-21 19:35:00,0.344,4.224,-1.098
2022-01-22 05:50:00,0.47,4.694,-0.628
2022-01-22 10:05:00,2.481,7.175,0.0
2022-01-22 12:20:00,-1.008,6.167,-1.008
2022-01-22 20:10:00,-1.036,5.131,-2.044
2022-01-23 05:35:00,-1.031,4.1,-3.075
2022-01-23 12:05:00,-1.05,3.05,-4.125
2022-01-23 20:10:00,1.134,4.184,-2.991
2022-01-24 04:50:00,-1.035,3.149,-4.026
2022-01-24 09:15:00,2.434,5.583,-1.592
2022-01-24 17:20:00,0.393,5.976,-1.199
2022-01-25 00:50:00,-1.037,4.939,-2.236
2022-01-25 08:55:00,0.947,5.886,-1.289
2022-01-25 20:05:00,-1.05,4.836,-2.339
2022-01-26 04:30:00,-0.337,4.499,-2.676
2022-01-26 06:25:00,-1.072,3.427,-3.748
2022-01-26 09:15:00,-1.054,2.373,-4.802
2022-01-26 10:00:00,-1.073,1.3,-5.875
2022-01-26 14:05:00,2.443,3.743,-3.432
2022-01-26 18:00:00,-1.032,2.711,-4.464
2022-01-26 21:20:00,-1.021,1.69,-5.485
2022-01-27 05:25:00,1.076,2.766,-4.409
2022-01-27 15:50:00,-1.077,1.689,-5.486
2022-01-27 23:55:00,-0.012,1.677,-5.498
2022-01-28 03:10:00,-1.035,0.642,-6.533
2022-01-28 15:05:00,0.285,0.927,-6.248
2022-01-29 04:40:00,0.431,1.358,-5.817
2022-01-29 14:00:00,2.39,3.748,-3.427
2022-01-29 14:50:00,-1.077,2.671,-4.504
2022-01-30 02:50:00,-0.209,2.462,-4.713
2022-01-30 11:25:00,0.058,2.52,-4.655
2022-01-30 19:05:00,2.365,4.885,-2.29
2022-01-31 03:10:00,0.081,4.966,-2.209
2022-01-31 11:55:00,-1.111,3.855,-3.32
2022-01-31 15:00:00,-1.074,2.781,-4.394
2022-02-01 00:10:00,0.695,3.476,-3.699
