entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2022-01-01 04:15:00,2022-01-01 05:20:00,S,1.3146,1.3294844870856393,1.3294844870856393,1.2773887822859018,-1.0,-1.097,sl,13
2022-01-01 10:35:00,2022-01-01 13:00:00,S,1.3112,1.3328937619516263,1.3328937619516263,1.256965595120934,-1.0,-1.066,sl,29
2022-01-01 13:05:00,2022-01-01 21:05:00,L,1.332,1.3513,1.3179042524888784,1.3672393687778042,1.369,1.265,time,96
2022-01-01 21:30:00,2022-01-02 04:45:00,L,1.3622,1.3493429889137136,1.3493429889137136,1.3943425277157162,-1.0,-1.117,sl,87
2022-01-02 12:45:00,2022-01-02 18:30:00,L,1.3677,1.3540066694440853,1.3540066694440853,1.4019333263897864,-1.0,-1.11,sl,69
2022-01-02 23:05:00,2022-01-03 00:55:00,L,1.3756,1.3629115260011389,1.3629115260011389,1.4073211849971528,-1.0,-1.119,sl,22
2022-01-03 03:40:00,2022-01-03 10:00:00,S,1.3481,1.3614120573362192,1.3614120573362192,1.3148198566594522,-1.0,-1.111,sl,76
2022-01-03 10:05:00,2022-01-03 16:05:00,L,1.3603,1.348545517018204,1.348545517018204,1.3896862074544905,-1.0,-1.127,sl,72
2022-01-03 16:10:00,2022-01-03 20:20:00,S,1.3517,1.3184055799812076,1.3650177680075168,1.3184055799812076,2.5,2.388,tp,50
2022-01-03 20:25:00,2022-01-04 04:25:00,S,1.3181,1.3142,1.3463699157953997,1.247425210511501,0.138,0.087,time,96
2022-01-04 11:05:00,2022-01-04 18:35:00,L,1.3367,1.3209918858397025,1.3209918858397025,1.3759702854007436,-1.0,-1.094,sl,90
2022-01-04 18:40:00,2022-01-05 02:40:00,S,1.3161,1.3305,1.3516183406126805,1.227304148468299,-0.405,-0.446,time,96
2022-01-05 07:00:00,2022-01-05 11:30:00,L,1.3441,1.3301415691712015,1.3301415691712015,1.3789960770719965,-1.0,-1.106,sl,54
2022-01-05 11:35:00,2022-01-05 19:35:00,S,1.3283,1.2962,1.348164285180658,1.2786392870483554,1.616,1.542,time,96
2022-01-05 19:40:00,2022-01-05 19:45:00,S,1.2962,1.247527665615628,1.3156689337537488,1.247527665615628,2.5,2.427,tp,1
2022-01-05 19:50:00,2022-01-06 03:50:00,S,1.2608,1.2145,1.3162130213528158,1.1222674466179603,0.836,0.811,time,96
2022-01-06 03:55:00,2022-01-06 11:55:00,S,1.2145,1.2041,1.2349310839292162,1.163422290176959,0.509,0.444,time,96
2022-01-06 12:30:00,2022-01-06 12:55:00,S,1.1876,1.2108605925547935,1.2108605925547935,1.129448518613016,-1.0,-1.056,sl,5
2022-01-06 20:30:00,2022-01-07 03:20:00,L,1.2707,1.2398665033195837,1.2398665033195837,1.3477837417010405,-1.0,-1.045,sl,82
2022-01-07 03:25:00,2022-01-07 11:25:00,S,1.2336,1.2267,1.2655672945781395,1.1536817635546512,0.216,0.173,time,96
2022-01-07 13:40:00,2022-01-07 21:40:00,S,1.2159,1.2255,1.2476949322589443,1.136412669352639,-0.302,-0.344,time,96
2022-01-07 22:45:00,2022-01-08 00:55:00,S,1.2113,1.2262367881583094,1.2262367881583094,1.1739580296042267,-1.0,-1.089,sl,26
2022-01-08 08:10:00,2022-01-08 10:45:00,L,1.2401,1.231309258207447,1.231309258207447,1.2620768544813825,-1.0,-1.155,sl,31
2022-01-08 12:45:00,2022-01-08 17:00:00,S,1.2311,1.1971774355924254,1.24466902576303,1.1971774355924254,2.5,2.4,tp,51
2022-01-08 17:05:00,2022-01-08 18:00:00,S,1.2027,1.1489802012551733,1.2241879194979308,1.1489802012551733,2.5,2.438,tp,11
