exit_time,net_R,cum_net_R,drawdown_R
2024-02-03 02:00:00,-1.031,-1.031,0.0
2024-02-04 22:00:00,-1.037,-2.068,-1.037
2024-02-06 23:00:00,-0.088,-2.156,-1.125
2024-02-09 12:00:00,2.449,0.293,0.0
2024-02-10 10:00:00,-1.035,-0.742,-1.035
2024-02-13 04:00:00,0.433,-0.309,-0.602
2024-02-16 10:00:00,-0.68,-0.989,-1.282
2024-02-19 14:00:00,-0.631,-1.62,-1.913
2024-02-22 15:00:00,0.513,-1.107,-1.4
2024-02-27 03:00:00,2.468,1.361,0.0
2024-02-29 04:00:00,0.591,1.952,0.0
2024-03-02 05:00:00,2.0,3.952,0.0
2024-03-04 07:00:00,0.578,4.53,0.0
2024-03-07 17:00:00,-0.111,4.419,-0.111
2024-03-09 18:00:00,0.022,4.441,-0.089
2024-03-13 11:00:00,-0.04,4.401,-0.129
2024-03-14 13:00:00,-1.014,3.387,-1.143
2024-03-17 03:00:00,0.767,4.154,-0.376
2024-03-17 11:00:00,-1.018,3.136,-1.394
2024-03-21 04:00:00,-1.009,2.127,-2.403
2024-03-23 05:00:00,0.191,2.318,-2.212
2024-03-25 10:00:00,0.543,2.861,-1.669
2024-03-26 14:00:00,-1.019,1.842,-2.688
2024-03-27 14:00:00,2.474,4.316,-0.214
2024-03-29 15:00:00,1.147,5.463,0.0
2024-04-02 20:00:00,-0.284,5.179,-0.284
2024-04-04 04:00:00,-1.013,4.166,-1.297
2024-04-06 08:00:00,0.382,4.548,-0.915
2024-04-09 01:00:00,-1.024,3.524,-1.939
2024-04-12 04:00:00,0.104,3.628,-1.835
2024-04-12 17:00:00,2.47,6.098,0.0
2024-04-14 18:00:00,1.026,7.124,0.0
2024-04-18 11:00:00,-0.132,6.992,-0.132
2024-04-22 18:00:00,0.056,7.048,-0.076
2024-04-23 20:00:00,-1.03,6.018,-1.106
2024-04-24 16:00:00,2.447,8.465,0.0
2024-04-26 17:00:00,-0.289,8.176,-0.289
2024-04-30 16:00:00,2.469,10.645,0.0
2024-05-02 17:00:00,-0.009,10.636,-0.009
2024-05-05 21:00:00,0.535,11.171,0.0
2024-05-06 12:00:00,-1.056,10.115,-1.056
2024-05-10 08:00:00,-0.072,10.043,-1.128
2024-05-12 15:00:00,-0.032,10.011,-1.16
2024-05-15 12:00:00,-1.059,8.952,-2.219
2024-05-17 13:00:00,0.7,9.652,-1.519
2024-05-20 02:00:00,0.27,9.922,-1.249
2024-05-22 11:00:00,0.56,10.482,-0.689
2024-05-25 19:00:00,-0.269,10.213,-0.958
2024-05-27 14:00:00,-1.051,9.162,-2.009
2024-05-28 01:00:00,-1.032,8.13,-3.041
2024-05-30 02:00:00,0.516,8.646,-2.525
2024-05-30 13:00:00,-1.058,7.588,-3.583
2024-06-02 16:00:00,-0.482,7.106,-4.065
2024-06-05 14:00:00,0.784,7.89,-3.281
2024-06-07 05:00:00,2.445,10.335,-0.836
2024-06-07 18:00:00,-1.019,9.316,-1.855
2024-06-11 13:00:00,2.449,11.765,0.0
2024-06-13 14:00:00,-0.267,11.498,-0.267
2024-06-15 16:00:00,0.209,11.707,-0.058
2024-06-18 01:00:00,2.461,14.168,0.0
2024-06-20 02:00:00,-0.026,14.142,-0.026
2024-06-22 17:00:00,-0.407,13.735,-0.433
2024-06-24 09:00:00,2.459,16.194,0.0
2024-06-25 03:00:00,-1.013,15.181,-1.013
2024-06-27 07:00:00,-1.022,14.159,-2.035
2024-06-29 22:00:00,-1.038,13.121,-3.073
2024-07-01 22:00:00,-1.053,12.068,-4.126
2024-07-05 02:00:00,2.479,14.547,-1.647
2024-07-07 03:00:00,-0.789,13.758,-2.436
2024-07-09 06:00:00,-1.018,12.74,-3.454
2024-07-13 13:00:00,0.394,13.134,-3.06
2024-07-14 12:00:00,-1.037,12.097,-4.097
2024-07-17 04:00:00,0.292,12.389,-3.805
2024-07-21 20:00:00,-0.152,12.237,-3.957
2024-07-23 05:00:00,-1.02,11.217,-4.977
2024-07-25 06:00:00,0.885,12.102,-4.092
2024-07-26 00:00:00,-1.03,11.072,-5.122
2024-07-28 13:00:00,2.45,13.522,-2.672
2024-07-29 03:00:00,2.459,15.981,-0.213
2024-07-31 04:00:00,-0.018,15.963,-0.231
2024-08-03 16:00:00,1.989,17.952,0.0
2024-08-05 01:00:00,2.482,20.434,0.0
2024-08-07 02:00:00,-0.208,20.226,-0.208
2024-08-10 22:00:00,0.302,20.528,0.0
2024-08-12 23:00:00,-1.022,19.506,-1.022
2024-08-15 00:00:00,-0.716,18.79,-1.738
2024-08-15 12:00:00,-1.052,17.738,-2.79
2024-08-16 05:00:00,-1.03,16.708,-3.82
2024-08-20 05:00:00,-1.042,15.666,-4.862
2024-08-20 15:00:00,-1.031,14.635,-5.893
2024-08-23 21:00:00,1.192,15.827,-4.701
2024-08-25 22:00:00,-0.42,15.407,-5.121
2024-08-27 21:00:00,2.445,17.852,-2.676
2024-08-29 22:00:00,0.305,18.157,-2.371
2024-09-01 16:00:00,-0.272,17.885,-2.643
2024-09-02 10:00:00,-1.031,16.854,-3.674
2024-09-05 20:00:00,0.465,17.319,-3.209
2024-09-08 15:00:00,0.512,17.831,-2.697
2024-09-11 16:00:00,2.461,20.292,-0.236
2024-09-13 17:00:00,-0.11,20.182,-0.346
2024-09-14 16:00:00,-1.05,19.132,-1.396
2024-09-15 21:00:00,2.408,21.54,0.0
2024-09-17 22:00:00,0.48,22.02,0.0
2024-09-18 23:00:00,-1.042,20.978,-1.042
2024-09-21 00:00:00,0.369,21.347,-0.673
2024-09-22 10:00:00,-1.045,20.302,-1.718
2024-09-25 04:00:00,0.106,20.408,-1.612
2024-09-28 17:00:00,-0.284,20.124,-1.896
2024-10-01 17:00:00,2.472,22.596,0.0
2024-10-03 18:00:00,0.189,22.785,0.0
2024-10-07 00:00:00,-1.049,21.736,-1.049
2024-10-09 15:00:00,-0.358,21.378,-1.407
2024-10-11 19:00:00,-1.037,20.341,-2.444
2024-10-13 14:00:00,-1.063,19.278,-3.507
2024-10-14 03:00:00,-1.05,18.228,-4.557
2024-10-14 13:00:00,2.467,20.695,-2.09
2024-10-16 14:00:00,0.228,20.923,-1.862
2024-10-19 23:00:00,-0.741,20.182,-2.603
2024-10-22 09:00:00,-1.042,19.14,-3.645
2024-10-23 18:00:00,2.451,21.591,-1.194
2024-10-24 04:00:00,-1.026,20.565,-2.22
2024-10-25 23:00:00,-1.046,19.519,-3.266
2024-10-28 00:00:00,-0.104,19.415,-3.37
2024-10-28 12:00:00,-1.046,18.369,-4.416
2024-10-30 14:00:00,0.614,18.983,-3.802
2024-11-02 18:00:00,0.681,19.664,-3.121
2024-11-05 09:00:00,0.289,19.953,-2.832
2024-11-06 06:00:00,2.472,22.425,-0.36
2024-11-08 07:00:00,-0.077,22.348,-0.437
2024-11-12 00:00:00,1.91,24.258,0.0
2024-11-16 19:00:00,2.467,26.725,0.0
2024-11-17 15:00:00,-1.011,25.714,-1.011
2024-11-21 03:00:00,-1.024,24.69,-2.035
2024-11-23 06:00:00,0.248,24.938,-1.787
2024-11-27 10:00:00,-1.023,23.915,-2.81
2024-11-29 11:00:00,-0.11,23.805,-2.92
2024-11-30 02:00:00,-1.061,22.744,-3.981
2024-12-02 08:00:00,-1.025,21.719,-5.006
2024-12-03 12:00:00,-1.01,20.709,-6.016
2024-12-03 14:00:00,-1.015,19.694,-7.031
2024-12-06 01:00:00,0.314,20.008,-6.717
2024-12-08 18:00:00,-0.335,19.673,-7.052
2024-12-11 21:00:00,0.677,20.35,-6.375
2024-12-15 08:00:00,-0.007,20.343,-6.382
2024-12-19 17:00:00,2.478,22.821,-3.904
2024-12-21 18:00:00,-0.21,22.611,-4.114
2024-12-23 21:00:00,-1.024,21.587,-5.138
2024-12-26 08:00:00,-1.022,20.565,-6.16
2024-12-28 09:00:00,-0.029,20.536,-6.189
