entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2024-02-01 02:00:00,2024-02-03 02:00:00,S,230.9,239.02102844704172,239.02102844704172,210.59742888239572,-1.0,-1.031,sl,48
2024-02-03 04:00:00,2024-02-04 22:00:00,L,241.4,234.29183996779994,234.29183996779994,259.17040008050014,-1.0,-1.037,sl,42
2024-02-04 23:00:00,2024-02-06 23:00:00,S,234.8,235.1,241.13101380628913,218.97246548427722,-0.047,-0.088,time,48
2024-02-07 21:00:00,2024-02-09 12:00:00,L,239.6,252.6433417123758,234.38266331504968,252.6433417123758,2.5,2.449,tp,39
2024-02-09 13:00:00,2024-02-10 10:00:00,L,252.3,244.27491805496726,244.27491805496726,272.3627048625819,-1.0,-1.035,sl,21
2024-02-11 04:00:00,2024-02-13 04:00:00,L,267.1,277.35,244.10169121839527,324.59577195401187,0.446,0.433,time,48
2024-02-14 10:00:00,2024-02-16 10:00:00,L,286.65,271.65,264.14056474759826,342.9235881310043,-0.666,-0.68,time,48
2024-02-17 14:00:00,2024-02-19 14:00:00,S,264.2,269.65,273.29098976489973,241.47252558775062,-0.599,-0.631,time,48
2024-02-20 15:00:00,2024-02-22 15:00:00,S,266.75,262.35,274.7490731945595,246.7523170136012,0.55,0.513,time,48
2024-02-26 17:00:00,2024-02-27 03:00:00,L,271.4,294.8373196251142,262.02507214995427,294.8373196251142,2.5,2.468,tp,10
2024-02-27 04:00:00,2024-02-29 04:00:00,L,299.3,319.75,265.2537573295326,384.4156066761685,0.601,0.591,time,48
2024-02-29 05:00:00,2024-03-02 05:00:00,L,319.75,406.75,276.4194132149862,428.0764669625345,2.008,2.0,time,48
2024-03-02 07:00:00,2024-03-04 07:00:00,L,400.9,453.85,310.01957561289856,628.1010609677535,0.583,0.578,time,48
2024-03-05 17:00:00,2024-03-07 17:00:00,S,424.3,428.4,465.6079667903182,321.0300830242046,-0.099,-0.111,time,48
2024-03-07 18:00:00,2024-03-09 18:00:00,L,428.4,429.55,396.9992387952913,506.90190301177165,0.037,0.022,time,48
2024-03-11 11:00:00,2024-03-13 11:00:00,L,443.15,441.85,398.87618463648147,553.8345384087962,-0.029,-0.04,time,48
2024-03-14 10:00:00,2024-03-14 13:00:00,L,469.5,432.651389531074,432.651389531074,561.6215261723149,-1.0,-1.014,sl,3
2024-03-15 03:00:00,2024-03-17 03:00:00,S,418.85,397.05,446.6678615294763,349.3053461763094,0.784,0.767,time,48
2024-03-17 07:00:00,2024-03-17 11:00:00,S,379.75,403.32517352581095,403.32517352581095,320.81206618547264,-1.0,-1.018,sl,4
2024-03-19 10:00:00,2024-03-21 04:00:00,S,370.3,413.2859957350057,413.2859957350057,262.83501066248573,-1.0,-1.009,sl,42
2024-03-21 05:00:00,2024-03-23 05:00:00,L,412.9,423.7,358.66051461597334,548.4987134600666,0.199,0.191,time,48
2024-03-23 10:00:00,2024-03-25 10:00:00,L,453.75,481.25,404.01274318844264,578.0931420288935,0.553,0.543,time,48
2024-03-25 16:00:00,2024-03-26 14:00:00,L,501.0,472.27548646185386,472.27548646185386,572.8112838453653,-1.0,-1.019,sl,22
2024-03-27 10:00:00,2024-03-27 14:00:00,L,491.5,543.4616112311509,470.71535550753964,543.4616112311509,2.5,2.474,tp,4
2024-03-27 15:00:00,2024-03-29 15:00:00,L,540.85,610.05,481.0291967110597,690.4020082223509,1.157,1.147,time,48
2024-03-31 20:00:00,2024-04-02 20:00:00,L,656.35,637.05,585.9580227516697,832.3299431208259,-0.274,-0.284,time,48
2024-04-03 18:00:00,2024-04-04 04:00:00,S,579.8,627.4489548728809,627.4489548728809,460.6776128177976,-1.0,-1.013,sl,10
2024-04-04 08:00:00,2024-04-06 08:00:00,L,667.9,709.9,559.9432345514401,937.7919136213995,0.389,0.382,time,48
2024-04-08 11:00:00,2024-04-09 01:00:00,L,707.1,674.0270467759005,674.0270467759005,789.7823830602488,-1.0,-1.024,sl,14
2024-04-10 04:00:00,2024-04-12 04:00:00,S,623.3,615.05,695.9035336055682,441.7911659860793,0.114,0.104,time,48
2024-04-12 13:00:00,2024-04-12 17:00:00,S,597.05,542.0437794757761,619.0524882096895,542.0437794757761,2.5,2.47,tp,4
2024-04-12 18:00:00,2024-04-14 18:00:00,S,555.05,491.55,616.3588430681024,401.7778923297439,1.036,1.026,time,48
2024-04-16 11:00:00,2024-04-18 11:00:00,S,478.75,482.75,512.9258294703926,393.31042632401847,-0.117,-0.132,time,48
2024-04-20 18:00:00,2024-04-22 18:00:00,L,510.55,513.45,469.0770477701683,614.2323805745793,0.07,0.056,time,48
2024-04-23 00:00:00,2024-04-23 20:00:00,L,522.3,502.8580598955536,502.8580598955536,570.9048502611158,-1.0,-1.03,sl,20
2024-04-24 00:00:00,2024-04-24 16:00:00,S,504.7,478.2928159213104,515.2628736314758,478.2928159213104,2.5,2.447,tp,16
2024-04-24 17:00:00,2024-04-26 17:00:00,S,479.8,488.65,512.2494319160535,398.67642020986636,-0.273,-0.289,time,48
2024-04-29 03:00:00,2024-04-30 16:00:00,S,467.5,426.48281468644456,483.9068741254222,426.48281468644456,2.5,2.469,tp,37
2024-04-30 17:00:00,2024-05-02 17:00:00,S,429.45,429.35,469.07387486837183,330.39031282907035,0.003,-0.009,time,48
2024-05-03 21:00:00,2024-05-05 21:00:00,L,454.45,467.75,430.54659566918593,514.2085108270351,0.556,0.535,time,48
2024-05-06 07:00:00,2024-05-06 12:00:00,L,472.25,463.05183001457846,463.05183001457846,495.2454249635539,-1.0,-1.056,sl,5
2024-05-08 08:00:00,2024-05-10 08:00:00,S,452.15,453.9,483.2075321500861,374.5061696247847,-0.056,-0.072,time,48
2024-05-10 15:00:00,2024-05-12 15:00:00,S,433.15,433.45,457.1701469257831,373.09963268554213,-0.012,-0.032,time,48
2024-05-15 12:00:00,2024-05-15 12:00:00,S,426.25,434.206053685684,434.206053685684,406.3598657857899,-1.0,-1.059,sl,0
