exit_time,net_R,cum_net_R,drawdown_R
2024-02-04 14:00:00,-1.121,-1.121,0.0
2024-02-06 15:00:00,-0.334,-1.455,-0.334
2024-02-07 20:00:00,1.872,0.417,0.0
2024-02-10 23:00:00,0.809,1.226,0.0
2024-02-12 02:00:00,-1.078,0.148,-1.078
2024-02-14 12:00:00,1.939,2.087,0.0
2024-02-20 07:00:00,1.902,3.989,0.0
2024-02-20 15:00:00,-1.04,2.949,-1.04
2024-02-21 23:00:00,1.966,4.915,0.0
2024-02-24 08:00:00,-0.101,4.814,-0.101
2024-02-26 20:00:00,1.954,6.768,0.0
2024-02-29 06:00:00,1.003,7.771,0.0
2024-03-03 09:00:00,0.25,8.021,0.0
2024-03-04 18:00:00,-1.105,6.916,-1.105
2024-03-05 16:00:00,-1.041,5.875,-2.146
2024-03-10 05:00:00,1.953,7.828,-0.193
2024-03-13 03:00:00,0.603,8.431,0.0
2024-03-16 17:00:00,-0.17,8.261,-0.17
2024-03-20 14:00:00,0.828,9.089,0.0
2024-03-22 21:00:00,-1.026,8.063,-1.026
2024-03-25 10:00:00,1.148,9.211,0.0
2024-03-27 14:00:00,-0.257,8.954,-0.257
2024-03-30 01:00:00,0.701,9.655,0.0
2024-04-01 04:00:00,-1.048,8.607,-1.048
2024-04-03 15:00:00,0.771,9.378,-0.277
2024-04-07 15:00:00,-0.034,9.344,-0.311
2024-04-08 09:00:00,1.914,11.258,0.0
2024-04-09 07:00:00,-1.046,10.212,-1.046
2024-04-10 07:00:00,-1.066,9.146,-2.112
2024-04-12 18:00:00,-1.023,8.123,-3.135
2024-04-13 19:00:00,-1.019,7.104,-4.154
2024-04-15 20:00:00,-0.132,6.972,-4.286
2024-04-18 00:00:00,0.447,7.419,-3.839
2024-04-19 23:00:00,-1.084,6.335,-4.923
2024-04-20 15:00:00,-1.098,5.237,-6.021
2024-04-22 03:00:00,1.924,7.161,-4.097
2024-04-24 16:00:00,0.14,7.301,-3.957
2024-04-27 00:00:00,-1.041,6.26,-4.998
2024-05-01 07:00:00,1.964,8.224,-3.034
2024-05-03 20:00:00,-1.017,7.207,-4.051
2024-05-05 00:00:00,-1.081,6.126,-5.132
2024-05-06 08:00:00,1.919,8.045,-3.213
2024-05-07 20:00:00,-1.048,6.997,-4.261
2024-05-09 03:00:00,-1.038,5.959,-5.299
2024-05-11 15:00:00,-0.364,5.595,-5.663
2024-05-14 06:00:00,-1.059,4.536,-6.722
2024-05-14 14:00:00,1.944,6.48,-4.778
2024-05-19 13:00:00,-0.11,6.37,-4.888
2024-05-20 19:00:00,-1.108,5.262,-5.996
2024-05-23 06:00:00,0.436,5.698,-5.56
2024-05-23 20:00:00,1.952,7.65,-3.608
2024-05-26 15:00:00,0.438,8.088,-3.17
2024-05-28 03:00:00,-1.095,6.993,-4.265
2024-05-30 07:00:00,-1.076,5.917,-5.341
2024-06-01 20:00:00,-1.072,4.845,-6.413
2024-06-03 06:00:00,1.945,6.79,-4.468
2024-06-04 22:00:00,1.976,8.766,-2.492
2024-06-07 11:00:00,0.099,8.865,-2.393
2024-06-10 02:00:00,-0.399,8.466,-2.792
