entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2024-02-03 13:00:00,2024-02-04 14:00:00,S,301.1,303.82797084150803,303.82797084150803,295.644058316984,-1.0,-1.121,sl,25
2024-02-04 15:00:00,2024-02-06 15:00:00,L,304.8,302.7,297.5043274231781,319.39134515364384,-0.288,-0.334,time,48
2024-02-07 09:00:00,2024-02-07 20:00:00,L,303.1,308.32260989523365,300.4886950523832,308.32260989523365,2.0,1.872,tp,11
2024-02-08 23:00:00,2024-02-10 23:00:00,L,318.65,322.6,314.20195654016993,327.54608691966007,0.888,0.809,time,48
2024-02-11 01:00:00,2024-02-12 02:00:00,L,322.75,318.2031679769033,318.2031679769033,331.84366404619345,-1.0,-1.078,sl,25
2024-02-13 21:00:00,2024-02-14 12:00:00,L,323.0,334.6427433103389,317.17862834483054,334.6427433103389,2.0,1.939,tp,15
2024-02-19 07:00:00,2024-02-20 07:00:00,L,352.55,360.45917300217894,348.59541349891055,360.45917300217894,2.0,1.902,tp,24
2024-02-20 14:00:00,2024-02-20 15:00:00,L,360.2,350.3003320535413,350.3003320535413,379.9993358929174,-1.0,-1.04,sl,1
2024-02-20 23:00:00,2024-02-21 23:00:00,L,355.1,377.7718686367341,343.764065681633,377.7718686367341,2.0,1.966,tp,24
2024-02-22 08:00:00,2024-02-24 08:00:00,L,381.05,379.65,363.08531828032056,416.9793634393589,-0.078,-0.101,time,48
2024-02-25 18:00:00,2024-02-26 20:00:00,L,386.0,404.3378868800546,376.8310565599727,404.3378868800546,2.0,1.954,tp,26
2024-02-27 06:00:00,2024-02-29 06:00:00,L,398.5,416.5,380.9871634670789,433.52567306584217,1.028,1.003,time,48
2024-03-01 09:00:00,2024-03-03 09:00:00,L,407.85,412.7,390.26474451332655,443.020510973347,0.276,0.25,time,48
2024-03-04 07:00:00,2024-03-04 18:00:00,L,415.85,411.476102734782,411.476102734782,424.5977945304361,-1.0,-1.105,sl,11
2024-03-05 01:00:00,2024-03-05 16:00:00,L,421.15,409.95972667705655,409.95972667705655,443.53054664588683,-1.0,-1.041,sl,15
2024-03-08 12:00:00,2024-03-10 05:00:00,L,473.75,496.14575278180314,462.55212360909843,496.14575278180314,2.0,1.953,tp,41
2024-03-11 03:00:00,2024-03-13 03:00:00,L,515.5,538.65,478.06195903879507,590.3760819224099,0.618,0.603,time,48
2024-03-14 17:00:00,2024-03-16 17:00:00,L,599.9,586.45,516.8910406830001,765.9179186339996,-0.162,-0.17,time,48
2024-03-18 14:00:00,2024-03-20 14:00:00,S,555.0,525.65,589.7108878576553,485.57822428468944,0.846,0.828,time,48
2024-03-21 17:00:00,2024-03-22 21:00:00,L,563.35,539.1188309675529,539.1188309675529,611.8123380648943,-1.0,-1.026,sl,28
2024-03-23 10:00:00,2024-03-25 10:00:00,L,556.05,585.35,531.0534268759219,606.0431462481561,1.172,1.148,time,48
2024-03-25 14:00:00,2024-03-27 14:00:00,L,583.75,576.5,553.0135252864484,645.2229494271032,-0.236,-0.257,time,48
2024-03-28 01:00:00,2024-03-30 01:00:00,L,588.75,608.0,562.2254379896372,641.7991240207257,0.726,0.701,time,48
2024-03-30 19:00:00,2024-04-01 04:00:00,L,608.45,594.5309133752818,594.5309133752818,636.2881732494366,-1.0,-1.048,sl,33
2024-04-01 15:00:00,2024-04-03 15:00:00,S,580.2,557.05,609.4138808757714,521.7722382484574,0.792,0.771,time,48
2024-04-05 15:00:00,2024-04-07 15:00:00,L,583.95,583.85,562.3322237671399,627.1855524657203,-0.005,-0.034,time,48
2024-04-08 06:00:00,2024-04-08 09:00:00,L,584.15,599.0949711780416,576.6775144109791,599.0949711780416,2.0,1.914,tp,3
2024-04-08 17:00:00,2024-04-09 07:00:00,L,590.2,576.0525020963327,576.0525020963327,618.4949958073348,-1.0,-1.046,sl,14
2024-04-09 17:00:00,2024-04-10 07:00:00,S,576.65,586.2028540688773,586.2028540688773,557.5442918622454,-1.0,-1.066,sl,14
2024-04-11 13:00:00,2024-04-12 18:00:00,L,601.65,572.9938206028385,572.9938206028385,658.962358794323,-1.0,-1.023,sl,29
2024-04-13 00:00:00,2024-04-13 19:00:00,L,595.1,560.4667399315374,560.4667399315374,664.3665201369253,-1.0,-1.019,sl,19
2024-04-13 20:00:00,2024-04-15 20:00:00,S,545.15,552.05,602.1435121443305,431.16297571133885,-0.121,-0.132,time,48
2024-04-16 00:00:00,2024-04-18 00:00:00,S,552.1,536.05,586.6535735982981,482.99285280340393,0.464,0.447,time,48
2024-04-19 20:00:00,2024-04-19 23:00:00,L,560.35,552.9832589901206,552.9832589901206,575.0834820197589,-1.0,-1.084,sl,3
2024-04-20 04:00:00,2024-04-20 15:00:00,S,556.4,562.6707670483712,562.6707670483712,543.8584659032575,-1.0,-1.098,sl,11
2024-04-21 16:00:00,2024-04-22 03:00:00,L,573.4,590.0988991433943,565.0505504283028,590.0988991433943,2.0,1.924,tp,11
2024-04-22 16:00:00,2024-04-24 16:00:00,L,594.65,599.45,565.0801129273449,653.7897741453102,0.162,0.14,time,48
2024-04-25 05:00:00,2024-04-27 00:00:00,L,606.9,590.6972004487208,590.6972004487208,639.3055991025584,-1.0,-1.041,sl,43
2024-04-29 17:00:00,2024-05-01 07:00:00,S,589.35,552.8974721866301,607.576263906685,552.8974721866301,2.0,1.964,tp,38
2024-05-01 20:00:00,2024-05-03 20:00:00,S,549.5,585.9456905608462,585.9456905608462,476.60861887830765,-1.0,-1.017,sl,48
2024-05-04 20:00:00,2024-05-05 00:00:00,L,589.45,581.4276994023473,581.4276994023473,605.4946011953054,-1.0,-1.081,sl,4
2024-05-05 12:00:00,2024-05-06 08:00:00,L,586.05,601.9521138643715,578.0989430678142,601.9521138643715,2.0,1.919,tp,20
2024-05-07 15:00:00,2024-05-07 20:00:00,L,594.1,580.5985811267093,580.5985811267093,621.1028377465815,-1.0,-1.048,sl,5
2024-05-08 06:00:00,2024-05-09 03:00:00,S,584.0,600.9037463571348,600.9037463571348,550.1925072857305,-1.0,-1.038,sl,21
2024-05-09 15:00:00,2024-05-11 15:00:00,L,597.8,591.1,577.5673277947558,638.2653444104883,-0.331,-0.364,time,48
2024-05-13 14:00:00,2024-05-14 06:00:00,L,594.6,583.5930303336373,583.5930303336373,616.6139393327254,-1.0,-1.059,sl,16
2024-05-14 07:00:00,2024-05-14 14:00:00,S,586.5,563.5454381639422,597.9772809180289,563.5454381639422,2.0,1.944,tp,7
2024-05-17 13:00:00,2024-05-19 13:00:00,L,579.4,578.35,564.1038720388287,609.9922559223425,-0.069,-0.11,time,48
2024-05-19 15:00:00,2024-05-20 19:00:00,S,576.35,582.1989632302137,582.1989632302137,564.6520735395726,-1.0,-1.108,sl,28
2024-05-21 06:00:00,2024-05-23 06:00:00,L,599.85,614.85,566.9353158560289,665.6793682879423,0.456,0.436,time,48
2024-05-23 13:00:00,2024-05-23 20:00:00,S,605.5,577.8560446276667,619.3219776861666,577.8560446276667,2.0,1.952,tp,7
2024-05-24 15:00:00,2024-05-26 15:00:00,L,597.4,602.45,587.3714960943875,617.457007811225,0.504,0.438,time,48
2024-05-27 14:00:00,2024-05-28 03:00:00,L,604.75,597.7275729075341,597.7275729075341,618.7948541849319,-1.0,-1.095,sl,13
2024-05-28 21:00:00,2024-05-30 07:00:00,L,601.9,593.2186858208717,593.2186858208717,619.2626283582566,-1.0,-1.076,sl,34
2024-05-31 02:00:00,2024-06-01 20:00:00,S,594.3,603.4157113045809,603.4157113045809,576.0685773908381,-1.0,-1.072,sl,42
2024-06-02 14:00:00,2024-06-03 06:00:00,L,601.2,625.2379488804174,589.1810255597914,625.2379488804174,2.0,1.945,tp,16
2024-06-03 18:00:00,2024-06-04 22:00:00,L,622.95,679.0343713422737,594.9078143288632,679.0343713422737,2.0,1.976,tp,28
2024-06-05 11:00:00,2024-06-07 11:00:00,L,701.35,705.85,663.5892565811796,776.8714868376409,0.119,0.099,time,48
2024-06-08 02:00:00,2024-06-10 02:00:00,L,684.9,671.95,650.5655371134737,753.5689257730525,-0.377,-0.399,time,48
2024-06-11 21:00:00,2024-06-12 13:00:00,S,605.75,630.1371289842297,630.1371289842297,556.9757420315407,-1.0,-1.027,sl,16
2024-06-13 00:00:00,2024-06-15 00:00:00,S,619.1,603.9,636.0443714117728,585.2112571764545,0.897,0.857,time,48
2024-06-15 21:00:00,2024-06-16 14:00:00,S,604.95,609.9912991831927,609.9912991831927,594.8674016336147,-1.0,-1.132,sl,17
2024-06-19 00:00:00,2024-06-21 00:00:00,S,588.4,584.55,611.1723886650564,542.8552226698872,0.169,0.141,time,48
2024-06-25 06:00:00,2024-06-27 06:00:00,S,571.75,568.55,593.8420658370707,527.5658683258587,0.145,0.116,time,48
2024-06-30 04:00:00,2024-06-30 07:00:00,S,569.0,574.2088049087662,574.2088049087662,558.5823901824676,-1.0,-1.12,sl,3
2024-07-01 17:00:00,2024-07-03 03:00:00,L,579.6,567.2152967295914,567.2152967295914,604.3694065408173,-1.0,-1.051,sl,34
2024-07-05 17:00:00,2024-07-07 17:00:00,S,495.05,501.6,531.534517952747,422.080964094506,-0.18,-0.194,time,48
2024-07-10 01:00:00,2024-07-10 04:00:00,S,512.05,521.7553850878578,521.7553850878578,492.63922982428426,-1.0,-1.058,sl,3
2024-07-10 10:00:00,2024-07-12 10:00:00,L,522.65,520.85,510.20073228768,547.5485354246399,-0.145,-0.191,time,48
2024-07-13 03:00:00,2024-07-15 01:00:00,L,533.85,549.4753549860442,526.037322506978,549.4753549860442,2.0,1.925,tp,46
2024-07-16 10:00:00,2024-07-18 10:00:00,L,566.55,573.35,529.6062975958711,640.4374048082577,0.184,0.167,time,48
2024-07-18 22:00:00,2024-07-19 15:00:00,L,570.3,590.0866237461507,560.4066881269246,590.0866237461507,2.0,1.937,tp,17
2024-07-20 18:00:00,2024-07-21 18:00:00,L,596.3,585.5928893853335,585.5928893853335,617.7142212293329,-1.0,-1.061,sl,24
2024-07-22 10:00:00,2024-07-23 05:00:00,L,595.2,579.9249138921772,579.9249138921772,625.7501722156458,-1.0,-1.043,sl,19
2024-07-24 20:00:00,2024-07-25 02:00:00,S,578.65,557.3234634048266,589.3132682975867,557.3234634048266,2.0,1.94,tp,6
2024-07-27 03:00:00,2024-07-27 13:00:00,L,579.65,591.8179876675032,573.5660061662484,591.8179876675032,2.0,1.895,tp,10
2024-07-28 14:00:00,2024-07-29 17:00:00,L,581.85,573.7302017851418,573.7302017851418,598.0895964297164,-1.0,-1.079,sl,27
2024-07-30 06:00:00,2024-07-30 22:00:00,S,571.45,580.9421192741469,580.9421192741469,552.4657614517064,-1.0,-1.066,sl,16
2024-07-31 06:00:00,2024-08-01 03:00:00,L,585.15,568.54479040279,568.54479040279,618.3604191944199,-1.0,-1.039,sl,21
2024-08-03 08:00:00,2024-08-05 01:00:00,S,540.4,466.38607711907196,577.406961440464,466.38607711907196,2.0,1.984,tp,41
2024-08-05 19:00:00,2024-08-07 19:00:00,S,452.15,471.95,514.6426126282928,327.16477474341434,-0.317,-0.325,time,48
2024-08-11 14:00:00,2024-08-13 14:00:00,L,523.05,517.9,497.5126826727377,574.1246346545245,-0.202,-0.224,time,48
2024-08-13 20:00:00,2024-08-15 19:00:00,L,521.6,510.8432750493276,510.8432750493276,543.1134499013449,-1.0,-1.053,sl,47
2024-08-16 10:00:00,2024-08-18 10:00:00,L,523.65,537.75,508.84952935087927,553.2509412982414,0.953,0.914,time,48
2024-08-22 04:00:00,2024-08-24 04:00:00,L,569.75,576.2,544.3574580395301,620.5350839209398,0.254,0.229,time,48
2024-08-24 17:00:00,2024-08-25 07:00:00,L,583.4,573.4795413668667,573.4795413668667,603.2409172662666,-1.0,-1.065,sl,14
2024-08-25 22:00:00,2024-08-26 02:00:00,L,576.25,567.5025493658119,567.5025493658119,593.7449012683762,-1.0,-1.072,sl,4
2024-08-26 06:00:00,2024-08-27 21:00:00,S,566.9,541.3567846544694,579.6716076727653,541.3567846544694,2.0,1.951,tp,39
2024-08-28 08:00:00,2024-08-30 08:00:00,S,532.4,535.45,557.2541468298549,482.6917063402901,-0.123,-0.146,time,48
2024-09-02 03:00:00,2024-09-02 10:00:00,S,511.95,524.6355742065117,524.6355742065117,486.57885158697655,-1.0,-1.044,sl,7
