exit_time,net_R,cum_net_R,drawdown_R
2022-01-23 10:05:00,0.353,0.353,0.0
2022-01-25 08:00:00,0.703,1.056,0.0
2022-01-26 18:50:00,0.481,1.537,0.0
2022-01-29 20:25:00,0.61,2.147,0.0
2022-01-31 10:50:00,-1.219,0.928,-1.219
2022-02-01 08:00:00,0.61,1.538,-0.609
2022-02-06 16:30:00,0.237,1.775,-0.372
2022-02-08 14:30:00,0.533,2.308,0.0
2022-02-10 02:10:00,0.293,2.601,0.0
2022-02-12 21:30:00,0.528,3.129,0.0
2022-02-13 14:30:00,0.409,3.538,0.0
2022-02-14 12:45:00,-1.142,2.396,-1.142
2022-02-19 07:55:00,0.398,2.794,-0.744
2022-02-21 00:00:00,0.528,3.322,-0.216
2022-02-21 09:25:00,-0.065,3.257,-0.281
2022-02-23 17:50:00,-1.085,2.172,-1.366
2022-02-24 19:40:00,-1.046,1.126,-2.412
2022-02-26 11:00:00,0.326,1.452,-2.086
2022-02-26 19:00:00,0.459,1.911,-1.627
2022-02-27 16:00:00,0.462,2.373,-1.165
2022-02-28 13:20:00,0.418,2.791,-0.747
2022-03-02 14:30:00,0.432,3.223,-0.315
2022-03-03 06:10:00,-1.102,2.121,-1.417
2022-03-04 08:25:00,0.38,2.501,-1.037
2022-03-06 00:50:00,-0.51,1.991,-1.547
2022-03-08 05:05:00,0.369,2.36,-1.178
2022-03-09 19:45:00,0.2,2.56,-0.978
2022-03-10 13:40:00,0.009,2.569,-0.969
2022-03-11 11:10:00,0.525,3.094,-0.444
2022-03-16 19:10:00,0.276,3.37,-0.168
2022-03-17 12:10:00,0.526,3.896,0.0
2022-03-20 12:00:00,-1.178,2.718,-1.178
2022-03-21 12:40:00,0.467,3.185,-0.711
2022-03-23 01:55:00,0.221,3.406,-0.49
2022-03-23 13:30:00,0.384,3.79,-0.106
2022-03-23 22:15:00,0.5,4.29,0.0
2022-03-25 08:40:00,0.328,4.618,0.0
2022-03-26 01:45:00,0.277,4.895,0.0
2022-03-29 19:05:00,0.49,5.385,0.0
2022-03-29 22:40:00,-0.04,5.345,-0.04
2022-04-14 12:15:00,0.219,5.564,0.0
2022-04-17 21:05:00,0.347,5.911,0.0
2022-04-23 21:50:00,-1.501,4.41,-1.501
2022-04-27 07:55:00,-1.134,3.276,-2.635
2022-04-28 01:05:00,-1.085,2.191,-3.72
2022-05-02 12:15:00,0.302,2.493,-3.418
2022-05-04 04:10:00,-0.031,2.462,-3.449
2022-05-10 06:25:00,-1.045,1.417,-4.494
2022-05-14 22:50:00,-1.048,0.369,-5.542
2022-05-21 09:25:00,0.342,0.711,-5.2
2022-05-24 05:00:00,0.21,0.921,-4.99
2022-05-26 00:10:00,0.337,1.258,-4.653
2022-05-27 14:40:00,0.423,1.681,-4.23
2022-05-29 21:10:00,0.192,1.873,-4.038
2022-06-04 17:15:00,0.142,2.015,-3.896
2022-06-07 09:05:00,0.144,2.159,-3.752
2022-06-07 19:30:00,-1.11,1.049,-4.862
2022-06-08 13:25:00,0.2,1.249,-4.662
2022-06-09 08:00:00,-1.143,0.106,-5.805
2022-06-10 22:20:00,-0.119,-0.013,-5.924
2022-06-11 05:15:00,0.118,0.105,-5.806
2022-06-14 07:15:00,0.489,0.594,-5.317
2022-06-15 16:35:00,0.431,1.025,-4.886
2022-06-18 00:50:00,0.329,1.354,-4.557
2022-06-21 23:25:00,-1.064,0.29,-5.621
2022-06-22 12:40:00,0.218,0.508,-5.403
2022-06-24 10:50:00,0.416,0.924,-4.987
2022-06-29 20:35:00,0.471,1.395,-4.516
2022-07-08 09:00:00,-1.097,0.298,-5.613
2022-07-08 14:35:00,0.432,0.73,-5.181
2022-07-09 08:20:00,0.23,0.96,-4.951
2022-07-09 14:05:00,0.427,1.387,-4.524
2022-07-10 22:00:00,0.51,1.897,-4.014
2022-07-15 17:05:00,0.435,2.332,-3.579
2022-07-17 17:55:00,-1.078,1.254,-4.657
2022-07-20 21:40:00,0.584,1.838,-4.073
2022-07-24 22:50:00,0.184,2.022,-3.889
2022-07-25 22:20:00,0.548,2.57,-3.341
2022-07-26 21:25:00,0.239,2.809,-3.102
2022-07-27 09:55:00,0.319,3.128,-2.783
2022-07-28 12:45:00,0.108,3.236,-2.675
2022-07-31 18:25:00,0.484,3.72,-2.191
