entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2022-01-23 09:40:00,2022-01-23 10:05:00,S,35960.5,35738.1,36478.410143941175,35738.1,0.429,0.353,tp,5
2022-01-25 05:05:00,2022-01-25 08:00:00,L,35968.5,36250.675,35623.34873254862,36250.675,0.818,0.703,tp,35
2022-01-26 18:15:00,2022-01-26 18:50:00,L,37795.0,38088.5,37270.912028496576,38088.5,0.56,0.481,tp,7
2022-01-29 15:10:00,2022-01-29 20:25:00,L,37615.0,37960.375,37116.41117752604,37960.375,0.693,0.61,tp,63
2022-01-31 07:55:00,2022-01-31 10:50:00,S,37094.0,37280.65832636914,37280.65832636914,36999.925,-1.0,-1.219,sl,35
2022-02-01 06:25:00,2022-02-01 08:00:00,L,38287.5,38459.8,38073.965459016414,38459.8,0.807,0.61,tp,19
2022-02-06 15:10:00,2022-02-06 16:30:00,L,41342.5,41567.275,40586.26138927783,41567.275,0.297,0.237,tp,16
2022-02-08 12:40:00,2022-02-08 14:30:00,L,43317.0,43716.125,42656.968072328295,43716.125,0.605,0.533,tp,22
2022-02-10 00:30:00,2022-02-10 02:10:00,L,44132.0,44309.225,43693.06654315696,44309.225,0.404,0.293,tp,20
2022-02-12 16:50:00,2022-02-12 21:30:00,S,42560.0,42219.9,43115.916149202414,42219.9,0.612,0.528,tp,56
2022-02-13 10:50:00,2022-02-13 14:30:00,S,42477.5,42338.625,42702.59301745622,42338.625,0.617,0.409,tp,44
2022-02-14 07:05:00,2022-02-14 12:45:00,S,42134.5,42461.8528060092,42461.8528060092,41902.85,-1.0,-1.142,sl,68
2022-02-19 07:00:00,2022-02-19 07:55:00,S,40362.0,40242.475,40550.89967012216,40242.475,0.633,0.398,tp,11
2022-02-20 23:05:00,2022-02-21 00:00:00,S,38671.5,38308.125,39279.4102158146,38308.125,0.598,0.528,tp,11
2022-02-21 01:25:00,2022-02-21 09:25:00,S,39007.5,39012.0,39733.73184827262,38528.175,-0.006,-0.065,time,96
2022-02-23 15:15:00,2022-02-23 17:50:00,L,38599.5,38102.38632388926,38102.38632388926,38812.675,-1.0,-1.085,sl,31
2022-02-24 19:00:00,2022-02-24 19:40:00,S,36370.0,37236.80572946166,37236.80572946166,35965.3,-1.0,-1.046,sl,8
2022-02-26 09:20:00,2022-02-26 11:00:00,L,38816.5,39044.05,38249.682714356226,39044.05,0.401,0.326,tp,20
2022-02-26 18:30:00,2022-02-26 19:00:00,L,38926.0,39120.675,38595.461007572034,39120.675,0.589,0.459,tp,6
2022-02-27 13:55:00,2022-02-27 16:00:00,L,38947.0,39450.6,37950.50660457995,39450.6,0.505,0.462,tp,25
2022-02-28 07:50:00,2022-02-28 13:20:00,S,38250.0,37971.375,38816.571787501445,37971.375,0.492,0.418,tp,66
2022-03-02 13:50:00,2022-03-02 14:30:00,L,43497.0,43813.575,42875.34206022145,43813.575,0.509,0.432,tp,8
2022-03-03 04:05:00,2022-03-03 06:10:00,L,43403.5,42933.201934962206,42933.201934962206,43627.825,-1.0,-1.102,sl,25
2022-03-04 08:20:00,2022-03-04 08:25:00,S,41587.0,41404.05,41948.29982020065,41404.05,0.506,0.38,tp,1
2022-03-05 16:50:00,2022-03-06 00:50:00,S,39388.0,39509.0,39710.04549163518,39172.05,-0.376,-0.51,time,96
