exit_time,net_R,cum_net_R,drawdown_R
2022-01-01 05:20:00,-1.122,-1.122,0.0
2022-01-01 15:05:00,-1.131,-2.253,-1.131
2022-01-01 23:35:00,-0.21,-2.463,-1.341
2022-01-02 09:20:00,-1.097,-3.56,-2.438
2022-01-02 17:25:00,0.768,-2.792,-1.67
2022-01-03 00:55:00,-1.171,-3.963,-2.841
2022-01-03 11:05:00,-1.153,-5.116,-3.994
2022-01-03 14:05:00,-1.169,-6.285,-5.163
2022-01-03 16:15:00,2.359,-3.926,-2.804
2022-01-04 00:20:00,-0.32,-4.246,-3.124
2022-01-04 15:05:00,0.685,-3.561,-2.439
2022-01-05 02:30:00,-0.04,-3.601,-2.479
2022-01-05 14:40:00,-1.201,-4.802,-3.68
2022-01-05 19:45:00,2.404,-2.398,-1.276
2022-01-06 03:50:00,0.207,-2.191,-1.069
2022-01-06 06:20:00,-1.069,-3.26,-2.138
2022-01-06 10:30:00,-1.103,-4.363,-3.241
2022-01-07 04:15:00,2.441,-1.922,-0.8
2022-01-07 12:20:00,-0.75,-2.672,-1.55
2022-01-07 21:40:00,-0.545,-3.217,-2.095
2022-01-08 15:00:00,2.361,-0.856,0.0
2022-01-08 23:05:00,0.307,-0.549,0.0
2022-01-09 16:55:00,-1.086,-1.635,-1.086
2022-01-09 22:50:00,-1.083,-2.718,-2.169
2022-01-10 06:55:00,-0.327,-3.045,-2.496
2022-01-10 12:50:00,2.393,-0.652,-0.103
2022-01-10 14:15:00,2.439,1.787,0.0
2022-01-10 22:20:00,-0.457,1.33,-0.457
2022-01-11 00:45:00,-1.108,0.222,-1.565
2022-01-11 08:05:00,-1.172,-0.95,-2.737
2022-01-11 11:25:00,-1.081,-2.031,-3.818
2022-01-11 19:30:00,-0.145,-2.176,-3.963
2022-01-12 01:15:00,-1.054,-3.23,-5.017
2022-01-12 07:15:00,-1.164,-4.394,-6.181
2022-01-12 11:40:00,2.408,-1.986,-3.773
2022-01-12 19:45:00,1.433,-0.553,-2.34
2022-01-12 23:55:00,2.329,1.776,-0.011
2022-01-13 04:40:00,2.437,4.213,0.0
2022-01-13 12:45:00,0.122,4.335,0.0
2022-01-13 15:15:00,-1.043,3.292,-1.043
2022-01-14 04:05:00,1.35,4.642,0.0
2022-01-14 06:15:00,2.478,7.12,0.0
2022-01-14 11:05:00,-1.012,6.108,-1.012
