entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2022-01-01 04:20:00,2022-01-01 05:20:00,S,26.925,27.298891804569063,27.298891804569063,25.990270488577345,-1.0,-1.079,sl,12
2022-01-01 10:25:00,2022-01-01 12:50:00,S,27.085,27.276564554136673,27.276564554136673,26.60608861465832,-1.0,-1.156,sl,29
2022-01-01 16:15:00,2022-01-02 00:15:00,L,27.68,28.16,27.21546127270674,28.84134681823315,1.033,0.968,time,96
2022-01-02 11:15:00,2022-01-02 15:00:00,L,28.855,29.436729678102488,28.622308128759006,29.436729678102488,2.5,2.364,tp,45
2022-01-02 15:05:00,2022-01-02 16:25:00,L,29.35,29.911421317465006,29.125431473014,29.911421317465006,2.5,2.356,tp,16
2022-01-02 16:30:00,2022-01-02 18:30:00,L,29.91,29.427983461210992,29.427983461210992,31.115041346972518,-1.0,-1.068,sl,24
2022-01-03 10:05:00,2022-01-03 14:30:00,L,29.375,30.77734901733357,28.814060393066573,30.77734901733357,2.5,2.442,tp,53
2022-01-03 14:35:00,2022-01-03 15:50:00,L,30.81,30.082440886145516,30.082440886145516,32.62889778463621,-1.0,-1.047,sl,15
2022-01-03 22:25:00,2022-01-04 02:10:00,L,30.395,29.570440673246484,29.570440673246484,32.45639831688379,-1.0,-1.041,sl,45
2022-01-04 09:50:00,2022-01-04 10:40:00,S,29.32,29.71090411873121,29.71090411873121,28.342739703171972,-1.0,-1.083,sl,10
2022-01-04 11:00:00,2022-01-04 18:45:00,L,29.885,29.24325399380508,29.24325399380508,31.489365015487305,-1.0,-1.051,sl,93
2022-01-04 18:50:00,2022-01-05 02:50:00,S,29.24,29.325,30.106646076207515,27.073384809481208,-0.098,-0.135,time,96
2022-01-05 03:15:00,2022-01-05 10:10:00,L,29.43,30.353870689685895,29.06045172412564,30.353870689685895,2.5,2.412,tp,83
2022-01-05 10:15:00,2022-01-05 11:20:00,L,30.24,29.788462418737264,29.788462418737264,31.368843953156833,-1.0,-1.074,sl,13
2022-01-05 14:05:00,2022-01-05 16:45:00,L,30.185,29.690332101583,29.690332101583,31.421669746042497,-1.0,-1.067,sl,32
2022-01-05 17:40:00,2022-01-05 19:50:00,S,29.36,27.928812989286165,29.932474804285533,27.928812989286165,2.5,2.444,tp,26
2022-01-05 19:55:00,2022-01-06 03:55:00,S,27.98,25.565,29.356918013211498,24.537704966971255,1.754,1.732,time,96
2022-01-06 04:00:00,2022-01-06 05:15:00,S,25.565,26.24934748367841,26.24934748367841,23.85413129080398,-1.0,-1.041,sl,15
2022-01-06 09:25:00,2022-01-06 14:35:00,S,26.01,26.35826545606681,26.35826545606681,25.13933635983298,-1.0,-1.082,sl,62
2022-01-06 22:15:00,2022-01-07 03:25:00,S,26.65,25.346761523425457,27.171295390629815,25.346761523425457,2.5,2.444,tp,62
2022-01-07 03:30:00,2022-01-07 11:30:00,S,25.51,25.66,26.323263506603478,23.47684123349131,-0.184,-0.219,time,96
