exit_time,net_R,cum_net_R,drawdown_R
2024-02-03 02:00:00,-0.74,-0.74,0.0
2024-02-04 11:00:00,-1.113,-1.853,-1.113
2024-02-04 20:00:00,-1.079,-2.932,-2.192
2024-02-07 08:00:00,1.044,-1.888,-1.148
2024-02-09 12:00:00,2.444,0.556,0.0
2024-02-11 13:00:00,-0.072,0.484,-0.072
2024-02-13 00:00:00,2.453,2.937,0.0
2024-02-15 01:00:00,0.561,3.498,0.0
2024-02-16 15:00:00,-1.032,2.466,-1.032
2024-02-19 21:00:00,2.457,4.923,0.0
2024-02-20 09:00:00,-1.038,3.885,-1.038
2024-02-21 14:00:00,-1.025,2.86,-2.063
2024-02-24 08:00:00,-0.443,2.417,-2.506
2024-02-26 20:00:00,2.452,4.869,-0.054
2024-02-28 21:00:00,0.921,5.79,0.0
2024-03-02 09:00:00,-0.343,5.447,-0.343
2024-03-05 03:00:00,2.452,7.899,0.0
2024-03-05 19:00:00,-1.023,6.876,-1.023
2024-03-06 08:00:00,-1.008,5.868,-2.031
2024-03-08 09:00:00,0.196,6.064,-1.835
2024-03-08 16:00:00,-1.037,5.027,-2.872
2024-03-13 08:00:00,0.171,5.198,-2.701
2024-03-14 18:00:00,2.439,7.637,-0.262
2024-03-16 19:00:00,1.087,8.724,0.0
2024-03-18 22:00:00,0.161,8.885,0.0
2024-03-21 01:00:00,-0.455,8.43,-0.455
2024-03-23 19:00:00,0.181,8.611,-0.274
2024-03-24 22:00:00,-1.032,7.579,-1.306
2024-03-27 15:00:00,-0.364,7.215,-1.67
2024-03-29 17:00:00,0.224,7.439,-1.446
2024-03-31 05:00:00,-1.041,6.398,-2.487
2024-04-01 15:00:00,-1.029,5.369,-3.516
2024-04-03 16:00:00,0.499,5.868,-3.017
2024-04-04 13:00:00,-1.036,4.832,-4.053
2024-04-07 03:00:00,-0.688,4.144,-4.741
2024-04-08 08:00:00,2.427,6.571,-2.314
2024-04-10 09:00:00,-0.313,6.258,-2.627
2024-04-12 17:00:00,-1.029,5.229,-3.656
2024-04-14 18:00:00,1.024,6.253,-2.632
2024-04-17 19:00:00,0.219,6.472,-2.413
2024-04-19 06:00:00,-1.021,5.451,-3.434
2024-04-22 17:00:00,1.312,6.763,-2.122
2024-04-24 15:00:00,-1.041,5.722,-3.163
2024-04-26 17:00:00,0.19,5.912,-2.973
2024-04-29 18:00:00,-0.533,5.379,-3.506
2024-04-30 08:00:00,-1.033,4.346,-4.539
2024-05-02 09:00:00,0.609,4.955,-3.93
2024-05-05 16:00:00,0.569,5.524,-3.361
2024-05-06 12:00:00,-1.059,4.465,-4.42
2024-05-08 13:00:00,0.578,5.043,-3.842
2024-05-09 22:00:00,-1.038,4.005,-4.88
2024-05-12 15:00:00,-0.05,3.955,-4.93
2024-05-15 13:00:00,-1.049,2.906,-5.979
2024-05-17 14:00:00,1.654,4.56,-4.325
2024-05-19 15:00:00,-0.117,4.443,-4.442
2024-05-20 19:00:00,2.456,6.899,-1.986
2024-05-22 20:00:00,0.808,7.707,-1.178
2024-05-23 20:00:00,-1.043,6.664,-2.221
2024-05-27 05:00:00,1.103,7.767,-1.118
2024-05-28 18:00:00,-1.043,6.724,-2.161
2024-05-30 17:00:00,-1.062,5.662,-3.223
2024-06-01 18:00:00,-0.118,5.544,-3.341
2024-06-02 08:00:00,-1.082,4.462,-4.423
2024-06-05 18:00:00,2.391,6.853,-2.032
2024-06-09 18:00:00,0.112,6.965,-1.92
2024-06-11 02:00:00,2.402,9.367,0.0
2024-06-13 03:00:00,0.829,10.196,0.0
2024-06-15 04:00:00,-0.066,10.13,-0.066
2024-06-17 07:00:00,-1.072,9.058,-1.138
2024-06-19 08:00:00,0.163,9.221,-0.975
2024-06-20 14:00:00,-1.075,8.146,-2.05
2024-06-22 15:00:00,0.107,8.253,-1.943
2024-06-24 09:00:00,2.453,10.706,0.0
2024-06-26 10:00:00,-0.513,10.193,-0.513
2024-06-29 15:00:00,-0.675,9.518,-1.188
2024-07-02 21:00:00,-0.055,9.463,-1.243
2024-07-04 01:00:00,2.449,11.912,0.0
2024-07-05 02:00:00,2.471,14.383,0.0
2024-07-07 03:00:00,-0.51,13.873,-0.51
2024-07-08 09:00:00,-1.032,12.841,-1.542
2024-07-12 13:00:00,-1.05,11.791,-2.592
2024-07-14 16:00:00,0.663,12.454,-1.929
2024-07-15 22:00:00,2.458,14.912,0.0
2024-07-17 23:00:00,-0.598,14.314,-0.598
2024-07-21 16:00:00,0.532,14.846,-0.066
2024-07-23 16:00:00,-1.03,13.816,-1.096
2024-07-25 01:00:00,2.432,16.248,0.0
2024-07-27 02:00:00,-0.179,16.069,-0.179
2024-07-29 02:00:00,-1.04,15.029,-1.219
2024-07-30 20:00:00,-1.036,13.993,-2.255
2024-08-01 21:00:00,1.152,15.145,-1.103
2024-08-04 15:00:00,1.373,16.518,0.0
2024-08-05 00:00:00,2.47,18.988,0.0
2024-08-07 01:00:00,0.058,19.046,0.0
2024-08-08 16:00:00,-1.014,18.032,-1.014
2024-08-11 09:00:00,-1.023,17.009,-2.037
2024-08-12 14:00:00,-1.026,15.983,-3.063
2024-08-14 15:00:00,-0.167,15.816,-3.23
2024-08-17 07:00:00,0.352,16.168,-2.878
2024-08-19 09:00:00,-1.039,15.129,-3.917
2024-08-20 00:00:00,-1.032,14.097,-4.949
2024-08-20 15:00:00,-1.029,13.068,-5.978
2024-08-22 16:00:00,-0.27,12.798,-6.248
2024-08-25 06:00:00,0.97,13.768,-5.278
2024-08-25 23:00:00,-1.086,12.682,-6.364
2024-08-27 21:00:00,2.45,15.132,-3.914
2024-08-29 22:00:00,-0.18,14.952,-4.094
2024-08-31 23:00:00,0.109,15.061,-3.985
2024-09-02 10:00:00,-1.041,14.02,-5.026
2024-09-05 16:00:00,0.752,14.772,-4.274
2024-09-06 18:00:00,2.454,17.226,-1.82
2024-09-08 19:00:00,-0.318,16.908,-2.138
2024-09-10 18:00:00,-1.068,15.84,-3.206
2024-09-11 10:00:00,-1.051,14.789,-4.257
2024-09-13 11:00:00,-0.469,14.32,-4.726
