entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2022-01-01 04:05:00,2022-01-01 05:20:00,S,0.033665,0.03381473401064927,0.03381473401064927,0.03329066497337682,-1.0,-1.247,sl,15
2022-01-01 15:40:00,2022-01-01 23:40:00,L,0.034005,0.03405,0.033650581671136784,0.034891045822158046,0.127,0.021,time,96
2022-01-02 04:05:00,2022-01-02 09:20:00,S,0.03371,0.03404117762523873,0.03404117762523873,0.03288205593690317,-1.0,-1.112,sl,63
2022-01-02 09:25:00,2022-01-02 17:25:00,L,0.034035,0.03426,0.0337792585744923,0.03467435356376926,0.88,0.733,time,96
2022-01-02 23:05:00,2022-01-03 00:30:00,L,0.034035,0.03388730355264421,0.03388730355264421,0.03440424111838949,-1.0,-1.253,sl,17
2022-01-03 02:15:00,2022-01-03 10:00:00,S,0.033685,0.033920834138689994,0.033920834138689994,0.033095414653275014,-1.0,-1.157,sl,93
2022-01-03 11:20:00,2022-01-03 16:05:00,L,0.033965,0.03378086314439647,0.03378086314439647,0.03442534213900884,-1.0,-1.203,sl,57
2022-01-03 16:10:00,2022-01-03 16:50:00,S,0.033795,0.03319803198200488,0.034033787207198046,0.03319803198200488,2.5,2.344,tp,8
2022-01-03 16:55:00,2022-01-04 00:55:00,S,0.03339,0.03277,0.034015030173635684,0.0318274245659108,0.992,0.933,time,96
2022-01-04 02:15:00,2022-01-04 08:00:00,S,0.032445,0.03296685282813801,0.03296685282813801,0.031140367929654987,-1.0,-1.068,sl,69
2022-01-04 14:50:00,2022-01-04 15:55:00,L,0.03342,0.03316287058079547,0.03316287058079547,0.034062823548011316,-1.0,-1.143,sl,13
2022-01-04 18:30:00,2022-01-05 02:30:00,S,0.032845,0.03257,0.03330906943580403,0.031684826410489926,0.593,0.515,time,96
2022-01-05 11:25:00,2022-01-05 17:40:00,S,0.03268,0.03207928882255042,0.03292028447097983,0.03207928882255042,2.5,2.35,tp,75
2022-01-05 17:45:00,2022-01-05 19:45:00,S,0.0318,0.029571280176362947,0.032691487929454824,0.029571280176362947,2.5,2.461,tp,24
2022-01-05 19:50:00,2022-01-06 03:50:00,S,0.03017,0.02953,0.03198137258201791,0.02564156854495523,0.353,0.335,time,96
2022-01-06 04:00:00,2022-01-06 04:55:00,S,0.029255,0.029835830217735528,0.029835830217735528,0.02780292445566118,-1.0,-1.055,sl,11
2022-01-06 09:30:00,2022-01-06 13:00:00,S,0.02961,0.03003670769572236,0.03003670769572236,0.0285432307606941,-1.0,-1.076,sl,42
2022-01-06 19:55:00,2022-01-07 02:35:00,L,0.03092,0.03033387470498579,0.03033387470498579,0.032385313237535525,-1.0,-1.058,sl,80
2022-01-07 03:00:00,2022-01-07 03:20:00,S,0.03032,0.02949358371808121,0.030650566512767517,0.02949358371808121,2.5,2.399,tp,4
2022-01-07 03:25:00,2022-01-07 11:25:00,S,0.029785,0.029535,0.030606054579390935,0.027732363551522657,0.304,0.265,time,96
2022-01-07 11:45:00,2022-01-07 12:30:00,S,0.02941,0.02968940518551608,0.02968940518551608,0.028711487036209793,-1.0,-1.116,sl,9
2022-01-07 13:40:00,2022-01-07 21:40:00,S,0.02915,0.02918,0.029844913619065817,0.027412715952335454,-0.043,-0.089,time,96
2022-01-07 23:25:00,2022-01-08 00:00:00,S,0.0289,0.029136185724014666,0.029136185724014666,0.02830953568996333,-1.0,-1.135,sl,7
2022-01-08 12:40:00,2022-01-08 17:10:00,S,0.029185,0.02840577891067557,0.029496688435729772,0.02840577891067557,2.5,2.397,tp,54
2022-01-08 17:15:00,2022-01-08 18:05:00,S,0.02836,0.02670968429136497,0.02902012628345401,0.02670968429136497,2.5,2.453,tp,10
2022-01-08 18:10:00,2022-01-09 02:10:00,S,0.026685,0.0279,0.028684546306055294,0.021686134234861765,-0.608,-0.622,time,96
2022-01-09 09:35:00,2022-01-09 11:10:00,S,0.028195,0.028480255605575627,0.028480255605575627,0.027481860986060938,-1.0,-1.109,sl,19
2022-01-09 13:55:00,2022-01-09 16:55:00,S,0.028125,0.02844893202600522,0.02844893202600522,0.027315169934986956,-1.0,-1.096,sl,36
2022-01-09 19:35:00,2022-01-09 21:40:00,L,0.02894,0.02851672901748225,0.02851672901748225,0.029998177456294378,-1.0,-1.075,sl,25
2022-01-09 21:45:00,2022-01-10 05:45:00,S,0.028535,0.02851,0.028924031687892975,0.02756242078026757,0.064,-0.016,time,96
2022-01-10 08:40:00,2022-01-10 12:35:00,S,0.02824,0.027369121373275247,0.028588351450689903,0.027369121373275247,2.5,2.411,tp,47
2022-01-10 12:40:00,2022-01-10 14:20:00,S,0.02744,0.02606280217804975,0.027990879128780097,0.02606280217804975,2.5,2.445,tp,20
2022-01-10 14:25:00,2022-01-10 16:15:00,S,0.025725,0.027321862309840617,0.027321862309840617,0.02173284422539846,-1.0,-1.018,sl,22
2022-01-11 00:25:00,2022-01-11 02:15:00,S,0.026525,0.02685753747520804,0.02685753747520804,0.0256936563119799,-1.0,-1.088,sl,22
2022-01-11 10:30:00,2022-01-11 11:30:00,S,0.026705,0.02710411756136953,0.02710411756136953,0.02570720609657617,-1.0,-1.074,sl,12
