exit_time,net_R,cum_net_R,drawdown_R
2022-01-01 05:20:00,-1.2,-1.2,0.0
2022-01-01 10:30:00,-1.085,-2.285,-1.085
2022-01-01 15:30:00,-1.089,-3.374,-2.174
2022-01-01 20:25:00,2.389,-0.985,0.0
2022-01-02 04:30:00,-0.405,-1.39,-0.405
2022-01-02 12:05:00,-1.133,-2.523,-1.538
2022-01-02 18:30:00,-1.143,-3.666,-2.681
2022-01-03 01:20:00,-1.194,-4.86,-3.875
2022-01-03 03:40:00,2.301,-2.559,-1.574
2022-01-03 10:35:00,-1.122,-3.681,-2.696
2022-01-03 15:05:00,-1.125,-4.806,-3.821
2022-01-03 20:40:00,2.431,-2.375,-1.39
2022-01-03 23:15:00,-1.05,-3.425,-2.44
2022-01-04 09:05:00,-0.301,-3.726,-2.741
2022-01-04 10:45:00,-1.113,-4.839,-3.854
2022-01-04 18:45:00,-1.057,-5.896,-4.911
2022-01-05 02:50:00,-0.133,-6.029,-5.044
2022-01-05 06:30:00,-1.513,-7.542,-6.557
2022-01-05 09:45:00,-1.152,-8.694,-7.709
2022-01-05 11:20:00,-1.163,-9.857,-8.872
2022-01-05 19:10:00,2.424,-7.433,-6.448
2022-01-05 21:35:00,2.445,-4.988,-4.003
2022-01-06 05:40:00,1.404,-3.584,-2.599
2022-01-06 14:00:00,-1.081,-4.665,-3.68
2022-01-06 17:05:00,-1.059,-5.724,-4.739
2022-01-07 00:40:00,2.428,-3.296,-2.311
2022-01-07 08:45:00,1.346,-1.95,-0.965
2022-01-07 12:30:00,-1.068,-3.018,-2.033
2022-01-07 21:45:00,-0.472,-3.49,-2.505
2022-01-08 00:55:00,-1.075,-4.565,-3.58
2022-01-08 04:40:00,-1.071,-5.636,-4.651
2022-01-08 15:30:00,-1.065,-6.701,-5.716
2022-01-08 16:10:00,-1.055,-7.756,-6.771
2022-01-08 22:00:00,-1.035,-8.791,-7.806
2022-01-09 06:05:00,-0.579,-9.37,-8.385
2022-01-09 16:25:00,-0.278,-9.648,-8.663
2022-01-10 00:50:00,-0.216,-9.864,-8.879
2022-01-10 04:15:00,-1.114,-10.978,-9.993
2022-01-10 11:25:00,-1.091,-12.069,-11.084
2022-01-10 12:50:00,2.412,-9.657,-8.672
2022-01-10 20:55:00,0.175,-9.482,-8.497
2022-01-11 07:00:00,-1.078,-10.56,-9.575
2022-01-11 16:05:00,-1.076,-11.636,-10.651
2022-01-12 00:35:00,0.261,-11.375,-10.39
2022-01-12 07:10:00,-1.13,-12.505,-11.52
2022-01-12 09:20:00,2.361,-10.144,-9.159
2022-01-12 17:25:00,1.952,-8.192,-7.207
2022-01-13 03:00:00,-1.057,-9.249,-8.264
2022-01-13 12:55:00,2.361,-6.888,-5.903
2022-01-13 17:15:00,-1.048,-7.936,-6.951
2022-01-14 03:40:00,-0.105,-8.041,-7.056
2022-01-14 07:35:00,-1.088,-9.129,-8.144
2022-01-14 15:40:00,0.37,-8.759,-7.774
2022-01-14 23:20:00,-1.126,-9.885,-8.9
2022-01-15 01:20:00,-1.124,-11.009,-10.024
2022-01-15 11:45:00,-1.092,-12.101,-11.116
2022-01-15 14:55:00,-1.086,-13.187,-12.202
2022-01-15 23:00:00,1.274,-11.913,-10.928
2022-01-16 02:00:00,-1.194,-13.107,-12.122
2022-01-16 06:35:00,-1.162,-14.269,-13.284
2022-01-16 14:40:00,1.708,-12.561,-11.576
2022-01-16 19:40:00,-1.047,-13.608,-12.623
2022-01-17 02:20:00,2.358,-11.25,-10.265
2022-01-17 05:00:00,2.384,-8.866,-7.881
2022-01-17 07:35:00,-1.086,-9.952,-8.967
2022-01-17 14:25:00,-1.097,-11.049,-10.064
2022-01-17 17:10:00,2.362,-8.687,-7.702
2022-01-18 01:10:00,-1.07,-9.757,-8.772
2022-01-18 09:15:00,2.407,-7.35,-6.365
2022-01-18 17:20:00,-0.159,-7.509,-6.524
2022-01-19 05:15:00,-0.143,-7.652,-6.667
2022-01-19 07:30:00,2.369,-5.283,-4.298
2022-01-19 14:55:00,-1.044,-6.327,-5.342
2022-01-19 23:50:00,0.175,-6.152,-5.167
