entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2022-01-01 04:35:00,2022-01-01 05:20:00,S,172.16,173.10771530757876,173.10771530757876,169.79071173105308,-1.0,-1.2,sl,9
2022-01-01 05:25:00,2022-01-01 10:30:00,L,173.68,171.43454036301046,171.43454036301046,179.29364909247388,-1.0,-1.085,sl,61
2022-01-01 10:35:00,2022-01-01 15:30:00,S,171.295,173.4213615572916,173.4213615572916,165.97909610677098,-1.0,-1.089,sl,59
2022-01-01 16:10:00,2022-01-01 20:25:00,L,174.23,178.5512083576496,172.50151665694014,178.5512083576496,2.5,2.389,tp,51
2022-01-01 20:30:00,2022-01-02 04:30:00,L,178.64,177.685,175.79682282824345,185.74794292939134,-0.336,-0.405,time,96
2022-01-02 09:25:00,2022-01-02 12:05:00,L,176.2,174.74145306539066,174.74145306539066,179.84636733652331,-1.0,-1.133,sl,32
2022-01-02 16:05:00,2022-01-02 18:30:00,L,176.33,174.97645258257884,174.97645258257884,179.71386854355293,-1.0,-1.143,sl,29
2022-01-02 21:15:00,2022-01-03 01:20:00,L,175.915,174.9188835263185,174.9188835263185,178.40529118420375,-1.0,-1.194,sl,49
2022-01-03 01:25:00,2022-01-03 03:40:00,S,174.89,172.47597873001504,175.85560850799396,172.47597873001504,2.5,2.301,tp,27
2022-01-03 03:45:00,2022-01-03 10:35:00,S,172.64,174.2020953500461,174.2020953500461,168.7347616248847,-1.0,-1.122,sl,82
2022-01-03 11:05:00,2022-01-03 15:05:00,L,174.755,173.21922943029273,173.21922943029273,178.59442642426816,-1.0,-1.125,sl,48
2022-01-03 15:10:00,2022-01-03 20:40:00,S,173.1,166.22588515681326,175.8496459372747,166.22588515681326,2.5,2.431,tp,66
2022-01-03 20:45:00,2022-01-03 23:15:00,S,167.28,170.98353755346005,170.98353755346005,158.02115611634986,-1.0,-1.05,sl,30
2022-01-04 01:05:00,2022-01-04 09:05:00,S,168.14,168.7,170.61095266508724,161.96261833728187,-0.227,-0.301,time,96
2022-01-04 10:10:00,2022-01-04 10:45:00,S,167.515,169.14576305288185,169.14576305288185,163.43809236779532,-1.0,-1.113,sl,7
2022-01-04 11:05:00,2022-01-04 18:45:00,L,170.75,167.43975061680226,167.43975061680226,179.02562345799436,-1.0,-1.057,sl,92
2022-01-04 18:50:00,2022-01-05 02:50:00,S,168.215,168.5,171.7526896405665,159.37077589858376,-0.081,-0.133,time,96
2022-01-05 04:50:00,2022-01-05 06:30:00,S,169.02,169.38225711698948,169.38225711698948,168.11435720752633,-1.0,-1.513,sl,20
2022-01-05 08:10:00,2022-01-05 09:45:00,S,169.295,170.5183989373735,170.5183989373735,166.23650265656624,-1.0,-1.152,sl,19
2022-01-05 10:00:00,2022-01-05 11:20:00,L,170.94,169.7897147011606,169.7897147011606,173.81571324709853,-1.0,-1.163,sl,16
2022-01-05 11:35:00,2022-01-05 19:10:00,S,168.45,162.35287992882326,170.88884802847068,162.35287992882326,2.5,2.424,tp,91
2022-01-05 19:15:00,2022-01-05 21:35:00,S,162.22,154.08148155205757,165.47540737917697,154.08148155205757,2.5,2.445,tp,28
2022-01-05 21:40:00,2022-01-06 05:40:00,S,154.96,148.72,159.28422516085047,144.14943709787386,1.443,1.404,time,96
2022-01-06 09:35:00,2022-01-06 14:00:00,S,147.845,149.84786734073518,149.84786734073518,142.83783164816205,-1.0,-1.081,sl,53
2022-01-06 15:05:00,2022-01-06 17:05:00,S,148.29,151.07685548716927,151.07685548716927,141.32286128207681,-1.0,-1.059,sl,24
2022-01-06 20:20:00,2022-01-07 00:40:00,S,151.86,146.08675812202438,154.16929675119027,146.08675812202438,2.5,2.428,tp,52
2022-01-07 00:45:00,2022-01-07 08:45:00,S,146.66,140.015,151.4778052621568,134.61548684460797,1.379,1.346,time,96
2022-01-07 10:55:00,2022-01-07 12:30:00,S,139.33,141.57000266793338,141.57000266793338,133.7299933301666,-1.0,-1.068,sl,19
2022-01-07 13:45:00,2022-01-07 21:45:00,S,137.2,139.755,142.92801373102188,122.87996567244527,-0.446,-0.472,time,96
