exit_time,net_R,cum_net_R,drawdown_R
2026-03-10 11:00:00,0.257,0.257,0.0
2026-03-11 08:35:00,-1.424,-1.167,-1.424
2026-03-11 14:00:00,0.113,-1.054,-1.311
2026-03-14 20:10:00,-2.256,-3.31,-3.567
2026-03-15 22:20:00,-0.151,-3.461,-3.718
2026-03-19 02:05:00,0.267,-3.194,-3.451
2026-03-20 03:00:00,-1.091,-4.285,-4.542
2026-03-20 08:45:00,0.652,-3.633,-3.89
2026-03-22 17:20:00,-0.193,-3.826,-4.083
2026-03-23 19:20:00,-0.089,-3.915,-4.172
2026-03-25 07:15:00,0.161,-3.754,-4.011
2026-03-25 13:00:00,0.249,-3.505,-3.762
2026-03-28 15:45:00,-0.955,-4.46,-4.717
2026-04-04 12:05:00,-1.388,-5.848,-6.105
2026-04-11 09:50:00,-4.652,-10.5,-10.757
2026-04-19 04:45:00,-0.033,-10.533,-10.79
2026-04-20 14:50:00,0.29,-10.243,-10.5
2026-04-24 10:20:00,0.099,-10.144,-10.401
2026-04-27 03:35:00,-1.215,-11.359,-11.616
2026-04-29 01:00:00,0.141,-11.218,-11.475
2026-04-30 00:45:00,-1.389,-12.607,-12.864
2026-04-30 22:00:00,0.156,-12.451,-12.708
2026-05-06 13:50:00,0.34,-12.111,-12.368
2026-05-09 05:10:00,-0.822,-12.933,-13.19
2026-05-10 19:15:00,-0.837,-13.77,-14.027
2026-05-12 19:30:00,-1.333,-15.103,-15.36
