entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2026-03-10 10:45:00,2026-03-10 11:00:00,L,5164.86,5176.2985,5142.49574735381,5176.2985,0.511,0.257,tp,3
2026-03-11 07:45:00,2026-03-11 08:35:00,L,5188.28,5174.830758754664,5174.830758754664,5195.168,-1.0,-1.424,sl,10
2026-03-11 13:55:00,2026-03-11 14:00:00,L,5166.25,5175.6075,5133.6463660219015,5175.6075,0.287,0.113,tp,1
2026-03-14 19:40:00,2026-03-14 20:10:00,S,5022.01,5021.127,5024.067389399296,5021.127,0.429,-2.256,tp,6
2026-03-15 22:20:00,2026-03-15 22:20:00,S,5010.39,5009.1685,5038.798597820339,5009.1685,0.043,-0.151,tp,0
2026-03-19 01:50:00,2026-03-19 02:05:00,S,4860.37,4847.4725,4888.6153383757,4847.4725,0.457,0.267,tp,3
2026-03-19 19:25:00,2026-03-20 03:00:00,S,4649.24,4705.313688557065,4705.313688557065,4625.3285000000005,-1.0,-1.091,sl,91
2026-03-20 08:30:00,2026-03-20 08:45:00,S,4724.71,4699.0345,4756.102806571767,4699.0345,0.818,0.652,tp,3
2026-03-22 17:20:00,2026-03-22 17:20:00,S,4493.53,4490.375999999999,4502.810002198655,4490.375999999999,0.34,-0.193,tp,0
2026-03-23 11:20:00,2026-03-23 19:20:00,S,4396.8,4407.28,4568.398028003492,4287.641,-0.061,-0.089,time,96
2026-03-25 06:20:00,2026-03-25 07:15:00,L,4552.23,4562.848,4517.469988290286,4562.848,0.305,0.161,tp,11
2026-03-25 12:40:00,2026-03-25 13:00:00,L,4554.92,4571.5775,4508.14789424001,4571.5775,0.356,0.249,tp,4
2026-03-28 15:35:00,2026-03-28 15:45:00,L,4498.22,4499.4105,4494.284324805802,4499.4105,0.302,-0.955,tp,2
2026-04-04 12:00:00,2026-04-04 12:05:00,L,4671.19,4673.141,4668.8928728837345,4673.141,0.849,-1.388,tp,1
2026-04-11 08:25:00,2026-04-11 09:50:00,S,4750.75,4752.180837557983,4752.180837557983,4749.5185,-1.0,-4.652,sl,17
2026-04-19 04:30:00,2026-04-19 04:45:00,S,4827.43,4822.438,4836.969130103826,4822.438,0.523,-0.033,tp,3
2026-04-20 12:10:00,2026-04-20 14:50:00,S,4809.71,4798.7765,4829.1622546358985,4798.7765,0.562,0.29,tp,32
2026-04-24 08:05:00,2026-04-24 10:20:00,S,4688.63,4681.773999999999,4705.75677148053,4681.773999999999,0.4,0.099,tp,27
2026-04-27 01:10:00,2026-04-27 03:35:00,S,4699.75,4723.838848684271,4723.838848684271,4685.9325,-1.0,-1.215,sl,29
2026-04-29 00:20:00,2026-04-29 01:00:00,S,4604.62,4597.386,4619.963104885627,4597.386,0.471,0.141,tp,8
2026-04-30 00:05:00,2026-04-30 00:45:00,S,4564.0,4576.915804860795,4576.915804860795,4556.962,-1.0,-1.389,sl,8
2026-04-30 14:05:00,2026-04-30 22:00:00,L,4621.6,4631.2535,4592.39353329959,4631.2535,0.331,0.156,tp,95
2026-05-06 12:25:00,2026-05-06 13:50:00,L,4684.86,4702.8745,4646.986441755272,4702.8745,0.476,0.34,tp,17
2026-05-09 03:40:00,2026-05-09 05:10:00,L,4716.72,4719.397,4713.66452831357,4719.397,0.876,-0.822,tp,18
2026-05-10 19:15:00,2026-05-10 19:15:00,L,4728.07,4728.6735,4722.578961739247,4728.6735,0.11,-0.837,tp,0
2026-05-12 18:50:00,2026-05-12 19:30:00,S,4694.3,4709.825041669477,4709.825041669477,4685.9439999999995,-1.0,-1.333,sl,8
