entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2025-05-28 19:00:00,2025-05-30 19:00:00,S,0.2811,0.27194,0.28981767996633684,0.25930580008415793,1.051,1.015,time,48
2025-05-31 00:00:00,2025-06-02 00:00:00,S,0.26475,0.26675,0.2758402624638336,0.23702434384041599,-0.18,-0.207,time,48
2025-06-03 16:00:00,2025-06-04 13:00:00,L,0.27545,0.26941651094882185,0.26941651094882185,0.2905337226279453,-1.0,-1.05,sl,21
2025-06-04 19:00:00,2025-06-06 19:00:00,S,0.26811,0.26348,0.27559838984225166,0.2493890253943709,0.618,0.579,time,48
2025-06-08 14:00:00,2025-06-10 14:00:00,L,0.27058,0.27593,0.2628336219313975,0.2899459451715063,0.691,0.652,time,48
2025-06-10 20:00:00,2025-06-12 19:00:00,L,0.27833,0.2715727591250591,0.2715727591250591,0.29522310218735226,-1.0,-1.045,sl,47
2025-06-12 20:00:00,2025-06-14 20:00:00,S,0.27024,0.25424,0.2774133440603081,0.2523066398492297,2.23,2.189,time,48
2025-06-14 21:00:00,2025-06-16 04:00:00,S,0.25424,0.2604310464312304,0.2604310464312304,0.23876238392192412,-1.0,-1.045,sl,31
2025-06-16 15:00:00,2025-06-17 00:00:00,L,0.26562,0.2587536502197198,0.2587536502197198,0.2827858744507006,-1.0,-1.043,sl,9
2025-06-17 01:00:00,2025-06-19 01:00:00,S,0.26218,0.25029,0.27028336613355397,0.24192158466611516,1.467,1.432,time,48
2025-06-20 18:00:00,2025-06-22 16:00:00,S,0.24314,0.22145229548791712,0.25181508180483314,0.22145229548791712,2.5,2.469,tp,46
2025-06-22 17:00:00,2025-06-23 20:00:00,S,0.22286,0.23846343706700068,0.23846343706700068,0.1838514073324983,-1.0,-1.016,sl,27
2025-06-23 21:00:00,2025-06-25 21:00:00,L,0.23798,0.24153,0.22463021163328625,0.27135447091678433,0.266,0.246,time,48
2025-06-26 12:00:00,2025-06-28 12:00:00,S,0.23852,0.23738,0.24426989146207836,0.2241452713448041,0.198,0.153,time,48
2025-07-01 18:00:00,2025-07-02 16:00:00,S,0.22562,0.23829299282150543,0.23829299282150543,0.19393751794623637,-1.0,-1.02,sl,22
2025-07-02 17:00:00,2025-07-04 17:00:00,L,0.23828,0.2379,0.2283644682156047,0.26306882946098825,-0.038,-0.065,time,48
2025-07-05 19:00:00,2025-07-06 08:00:00,S,0.23484,0.238712685798518,0.238712685798518,0.22515828550370495,-1.0,-1.067,sl,13
2025-07-06 09:00:00,2025-07-06 21:00:00,L,0.23914,0.24847774125730757,0.23540490349707696,0.24847774125730757,2.5,2.43,tp,12
2025-07-06 22:00:00,2025-07-08 22:00:00,L,0.24964,0.25776,0.23815236299234815,0.2783590925191296,0.707,0.683,time,48
2025-07-09 01:00:00,2025-07-09 12:00:00,L,0.25953,0.28189100690256674,0.2505855972389733,0.28189100690256674,2.5,2.468,tp,11
2025-07-09 13:00:00,2025-07-11 13:00:00,L,0.28584,0.34472,0.2564611173738363,0.35928720656540913,2.004,1.993,time,48
2025-07-11 14:00:00,2025-07-13 14:00:00,L,0.34472,0.46091600780208075,0.29824159687916774,0.46091600780208075,2.5,2.492,tp,48
2025-07-13 15:00:00,2025-07-15 15:00:00,L,0.46456,0.44706,0.3995189162687294,0.6271627093281764,-0.269,-0.277,time,48
2025-07-17 07:00:00,2025-07-19 07:00:00,L,0.47295,0.4666,0.44303082451641207,0.5477479387089698,-0.212,-0.23,time,48
