exit_time,net_R,cum_net_R,drawdown_R
2024-02-03 20:00:00,0.441,0.441,0.0
2024-02-04 22:00:00,1.41,1.851,0.0
2024-02-06 23:00:00,-0.168,1.683,-0.168
2024-02-09 11:00:00,1.445,3.128,0.0
2024-02-11 12:00:00,0.585,3.713,0.0
2024-02-14 18:00:00,0.337,4.05,0.0
2024-02-15 03:00:00,1.449,5.499,0.0
2024-02-17 04:00:00,0.271,5.77,0.0
2024-02-20 03:00:00,1.439,7.209,0.0
2024-02-23 10:00:00,0.034,7.243,0.0
2024-02-24 06:00:00,-1.067,6.176,-1.067
2024-02-26 10:00:00,-0.747,5.429,-1.814
2024-02-26 16:00:00,-1.041,4.388,-2.855
2024-02-27 19:00:00,1.471,5.859,-1.384
2024-02-28 17:00:00,-1.015,4.844,-2.399
2024-02-29 16:00:00,1.481,6.325,-0.918
2024-02-29 22:00:00,-1.021,5.304,-1.939
2024-03-03 07:00:00,-1.018,4.286,-2.957
2024-03-05 01:00:00,1.469,5.755,-1.488
2024-03-05 19:00:00,1.478,7.233,-0.01
2024-03-07 20:00:00,-0.758,6.475,-0.768
2024-03-10 12:00:00,-1.049,5.426,-1.817
2024-03-11 00:00:00,1.45,6.876,-0.367
2024-03-11 07:00:00,-1.027,5.849,-1.394
2024-03-11 15:00:00,1.483,7.332,0.0
2024-03-13 16:00:00,-0.101,7.231,-0.101
2024-03-14 13:00:00,-1.027,6.204,-1.128
2024-03-16 19:00:00,1.136,7.34,0.0
2024-03-18 22:00:00,-1.019,6.321,-1.019
2024-03-19 06:00:00,-1.017,5.304,-2.036
2024-03-21 07:00:00,-0.092,5.212,-2.128
2024-03-24 12:00:00,-0.435,4.777,-2.563
2024-03-25 19:00:00,1.464,6.241,-1.099
2024-03-26 16:00:00,-1.024,5.217,-2.123
2024-03-28 16:00:00,-1.045,4.172,-3.168
2024-03-30 17:00:00,0.055,4.227,-3.113
2024-04-03 16:00:00,0.496,4.723,-2.617
2024-04-04 13:00:00,-1.028,3.695,-3.645
2024-04-06 15:00:00,-1.036,2.659,-4.681
2024-04-08 03:00:00,-1.083,1.576,-5.764
2024-04-08 07:00:00,-1.064,0.512,-6.828
2024-04-08 16:00:00,1.454,1.966,-5.374
2024-04-10 17:00:00,-0.1,1.866,-5.474
2024-04-12 16:00:00,-1.026,0.84,-6.5
2024-04-12 18:00:00,1.47,2.31,-5.03
