entry_time,exit_time,side,entry,exit,sl,tp,R,net_R,reason,hold_bars
2024-02-01 20:00:00,2024-02-03 20:00:00,L,0.5094,0.5187,0.48957360178034576,0.5391395973294812,0.469,0.441,time,48
2024-02-04 19:00:00,2024-02-04 22:00:00,S,0.5085,0.49920398693467605,0.5146973420435492,0.49920398693467605,1.5,1.41,tp,3
2024-02-04 23:00:00,2024-02-06 23:00:00,S,0.5035,0.5048,0.5145023677255469,0.4869964484116795,-0.118,-0.168,time,48
2024-02-07 19:00:00,2024-02-09 11:00:00,L,0.5091,0.5243959821042543,0.49890267859716375,0.5243959821042543,1.5,1.445,tp,40
2024-02-09 12:00:00,2024-02-11 12:00:00,L,0.5246,0.5321,0.5127597353475664,0.5423603969786503,0.633,0.585,time,48
2024-02-12 18:00:00,2024-02-14 18:00:00,L,0.5315,0.5381,0.5136516953175927,0.5582724570236108,0.37,0.337,time,48
2024-02-15 02:00:00,2024-02-15 03:00:00,L,0.5409,0.5582829770578508,0.5293113486280996,0.5582829770578508,1.5,1.449,tp,1
2024-02-15 04:00:00,2024-02-17 04:00:00,L,0.5532,0.5603,0.5292757240806615,0.5890864138790078,0.297,0.271,time,48
2024-02-18 06:00:00,2024-02-20 03:00:00,L,0.557,0.5721387164004001,0.5469075223997333,0.5721387164004001,1.5,1.439,tp,45
2024-02-21 10:00:00,2024-02-23 10:00:00,S,0.5381,0.5365,0.567929584821081,0.4933556227683785,0.054,0.034,time,48
2024-02-23 17:00:00,2024-02-24 06:00:00,S,0.5333,0.5420042033418112,0.5420042033418112,0.5202436949872832,-1.0,-1.067,sl,13
2024-02-24 10:00:00,2024-02-26 10:00:00,L,0.5451,0.5345,0.5301141711198358,0.5675787433202464,-0.707,-0.747,time,48
2024-02-26 12:00:00,2024-02-26 16:00:00,S,0.5312,0.5454527480690835,0.5454527480690835,0.5098208778963748,-1.0,-1.041,sl,4
2024-02-26 18:00:00,2024-02-27 19:00:00,L,0.5497,0.5810095366287519,0.528826975580832,0.5810095366287519,1.5,1.471,tp,25
2024-02-27 20:00:00,2024-02-28 17:00:00,L,0.594,0.5491783612420708,0.5491783612420708,0.6612324581368938,-1.0,-1.015,sl,21
2024-02-28 18:00:00,2024-02-29 16:00:00,L,0.5728,0.6213647818752503,0.5404234787498331,0.6213647818752503,1.5,1.481,tp,22
2024-02-29 17:00:00,2024-02-29 22:00:00,L,0.6127,0.5808189823267148,0.5808189823267148,0.6605215265099278,-1.0,-1.021,sl,5
2024-03-02 02:00:00,2024-03-03 07:00:00,L,0.622,0.5843171573905902,0.5843171573905902,0.6785242639141147,-1.0,-1.018,sl,29
2024-03-04 03:00:00,2024-03-05 01:00:00,L,0.635,0.6690936083619483,0.6122709277587012,0.6690936083619483,1.5,1.469,tp,22
2024-03-05 17:00:00,2024-03-05 19:00:00,S,0.6284,0.5817516742387498,0.6594988838408333,0.5817516742387498,1.5,1.478,tp,2
2024-03-05 20:00:00,2024-03-07 20:00:00,S,0.5681,0.6357,0.658064043792092,0.43315393431186205,-0.751,-0.758,time,48
