tag,symbol,strategy,base_tf,rr,trades,win_rate,win_rate_net,avg_R,net_avg_R,expectancy_R,profit_factor,profit_factor_net,trades_per_month,total_net_R,max_drawdown_R
profitable_top_freq,AVAXUSDT,donchian_brkout,M5,2.5,5350,42.728971962616825,41.55140186915888,0.1522081396641596,0.05826620951512299,0.49551401869158895,1.3053435728459641,1.1050857763337607,99.66665660455467,311.724220905908,-40.85590057251288
profitable_top_freq,SOLUSDT,donchian_brkout,M5,2.5,6098,41.94817973105936,40.767464742538536,0.1308861732300909,0.03381796582537991,0.46818629058707784,1.255413886864804,1.059237912381646,113.60527847855617,206.22195560316666,-53.37293317259676
profitable_top_freq,ADAUSDT,donchian_brkout,M5,2.5,5333,42.32139508719295,41.21507594224639,0.12843693141517332,0.025921748089205127,0.48124882805175306,1.2565359423121738,1.0462132386772023,99.3538148384537,138.24068255973094,-61.21165325584061
profitable_top_freq,DOGEUSDT,donchian_brkout,M5,2.5,5369,40.73384242875768,39.485937791022536,0.12545917797281075,0.021599102296432228,0.4256844850065189,1.2491153244040485,1.0381731135404944,100.02298528381219,115.96558022954463,-70.25576598826554
profitable_low_freq,ETHUSDT,donchian_brkout,H1,2.5,422,45.023696682464454,44.07582938388626,0.16747287546015927,0.13096198199323342,0.5758293838862559,1.4067281867488182,1.3036493961447386,7.862336654159659,55.26595640114451,-10.152717932612028
profitable_top_freq,SHIB1000USDT,donchian_brkout,M5,2.5,5450,40.88073394495413,39.43119266055046,0.11452397165358234,0.00992079483155866,0.4308256880733945,1.2236804591689416,1.0172782191963594,101.52870911403869,54.068331831994705,-66.33166807676695
profitable_low_freq,XRPUSDT,donchian_brkout,H1,1.5,480,49.166666666666664,47.91666666666667,0.1405532494438896,0.10752385374398347,0.22916666666666663,1.361529545787808,1.2654425579448751,8.942710759198883,51.611449797112066,-15.23465773340751
profitable_top_freq,DOTUSDT,donchian_brkout,M5,2.5,5332,41.316579144786196,40.041260315078766,0.11375316850865162,0.007943402292250212,0.4460802700675168,1.222450626384466,1.0137961967080746,99.33261460175083,42.35422102227813,-129.88465252736822
profitable_low_freq,BNBUSDT,fib_pullback,H1,2.0,339,45.72271386430678,45.72271386430678,0.1822163356729495,0.12488648147052668,0.37168141592920356,1.4197393264860687,1.2686071678362627,6.315789473684211,42.33651721850855,-14.350641825549218
profitable_top_freq,XLMUSDT,donchian_brkout,H1,2.5,174,46.55172413793103,45.40229885057471,0.1827442802333584,0.150724327808891,0.6293103448275861,1.4304752119102724,1.3418311444147715,14.742292304071547,26.226033038747033,-6.464543045326415
profitable_low_freq,BCHUSDT,donchian_brkout,H1,2.5,382,41.361256544502616,40.83769633507853,0.07873505087742465,0.04742548005200463,0.4476439790575917,1.1816852981169383,1.105025091223402,7.117091473670592,18.116533379865768,-20.294142203736985
profitable_top_freq,LTCUSDT,donchian_brkout,H1,2.5,179,42.45810055865922,41.340782122905026,0.04809657988872319,0.010431499789762119,0.4860335195530727,1.1070813368394217,1.0222029471151715,15.165921393269006,1.8672384623674194,-9.593351760773565
wr_target_only,XAUUSDT,bb_revert_mid,M5,0.0,26,73.07692307692307,42.30769230769231,0.09179863354332415,-0.580791103395297,1.192307692307692,1.3937858010836075,0.15295997176980303,11.347173814214274,-15.100568688277722,-15.357995309729393
wr_target_only,BTCUSDT,bb_revert_mid,M5,0.0,580,75.6896551724138,68.62068965517241,0.09243294790448245,-0.08670486461283396,1.2706896551724138,1.4202259499136018,0.690583557088772,10.805892005770389,-50.2888214754437,-56.9724374246632
