,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
ADAUSDT,2.781000000000001,13.221000000000002,-14.600999999999999,6.159999999999999,5.928,-2.358999999999999,-1.8589999999999998,0.0820000000000003,-3.721,13.052999999999999,-1.066000000000001,16.983999999999998,1.5249999999999992,4.347999999999999,2.6110000000000007,6.473000000000001,-0.04800000000000093,21.400000000000002,-12.540999999999999,-18.058,-18.993000000000002,4.634000000000003,-0.9250000000000005,17.355999999999998,4.783,12.242,-16.116,6.5009999999999994,-8.082,-0.6090000000000021,16.886,10.811000000000002,13.229999999999999,-1.0720000000000018,22.793,-14.691,10.956999999999999,4.018999999999999,14.375,-5.287,1.516999999999997,-1.2299999999999995,1.5980000000000003,1.6040000000000008,7.438999999999998,10.439,-29.805,9.935000000000002,10.800999999999998,4.756000000000001,2.303000000000001,3.567000000000001,2.1540000000000004
AVAXUSDT,30.868000000000002,33.176,-3.165,9.586,6.393000000000002,10.542000000000002,5.935999999999999,-0.3480000000000014,-13.838000000000001,-3.982,12.458,-3.444000000000001,-3.8709999999999996,16.768,-6.036,17.413,-6.262999999999998,4.810999999999998,-12.679,9.817,-14.440000000000001,23.287999999999997,-2.618000000000001,20.201999999999998,1.6139999999999999,5.235999999999998,3.371999999999999,27.552,-4.978000000000001,14.953000000000001,18.003,12.383999999999999,-11.212000000000002,8.258000000000001,13.41,8.681,5.398999999999999,18.239,0.911,-3.8070000000000004,19.195999999999998,4.118999999999999,20.414,-0.9530000000000012,3.150999999999999,2.311999999999999,-1.967000000000001,0.8600000000000009,15.777999999999999,-0.7959999999999994,-0.8709999999999998,-9.769,11.632000000000001
BCHUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9520000000000002,3.511000000000001,5.182,-3.057,5.5329999999999995,2.8420000000000005,2.194,1.967,-1.141,3.761,-3.236999999999999,-0.8719999999999993,1.5210000000000006,-3.413,1.3010000000000004,-6.282,3.7430000000000003,0.3069999999999997,1.08,-1.4580000000000002,7.610000000000001,-6.138999999999999,-2.6209999999999996,-2.651,1.3950000000000002,-6.481,1.5229999999999995,10.05
BNBUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771,1.884,-3.395,-0.3430000000000002,0.3839999999999999,1.1210000000000002,0.15400000000000028,1.8689999999999998,3.0170000000000003,2.5340000000000003,-6.468,-2.9339999999999997,1.6070000000000002,-1.8689999999999998,-2.7590000000000003,4.405,4.781,4.78,-1.9669999999999996,0.27300000000000035,2.156,5.1240000000000006,-0.6519999999999999,4.054,2.7119999999999997,7.648,5.259,1.1990000000000003
BTCUSDT,0.9279999999999999,1.8630000000000002,2.5540000000000003,-3.154,-0.31800000000000006,-0.4780000000000002,2.325,0.3400000000000001,-1.2939999999999998,1.154,0.15199999999999986,-3.614,-3.2680000000000002,1.2580000000000002,-3.098,-1.2679999999999998,-0.631,-0.9909999999999999,-2.499,-6.659,-2.1140000000000003,-0.3100000000000001,-2.4059999999999997,-1.281,0.8440000000000001,-0.1419999999999999,1.3019999999999998,2.32,-0.7220000000000001,0.735,-1.352,-1.761,-2.855,-0.576,-2.818,1.907,-1.6430000000000005,-0.5700000000000001,-0.7080000000000002,0.958,-1.843,-1.5530000000000002,-1.3450000000000002,-6.599,-6.644,-3.975,0.899,1.43,1.483,-0.971,-0.4720000000000002,-1.986,-0.8200000000000001
DOGEUSDT,3.1770000000000005,12.389,-4.290000000000001,10.827,-9.472,-2.5699999999999994,-2.1800000000000006,9.341000000000001,-23.461000000000002,9.009,7.501999999999999,0.6690000000000003,-0.5779999999999992,-24.278000000000002,11.642999999999999,-3.048,-19.886000000000003,-3.405000000000001,-3.945000000000002,9.205,-6.654,7.292999999999999,15.072,-0.40599999999999703,6.347999999999999,-9.549000000000001,14.376000000000001,17.833,4.089999999999997,-7.068999999999999,11.179,2.5100000000000007,11.834,-2.5420000000000025,7.854000000000001,4.033,4.6560000000000015,15.38,4.529,-14.339,10.497,-5.635000000000002,15.472000000000001,5.904999999999999,20.692,13.526000000000002,-33.029,4.947000000000001,24.598,1.3630000000000004,6.4,-3.016000000000001,-8.826
DOTUSDT,8.053,23.996,6.004,30.483000000000004,-0.8320000000000016,-15.788,-0.7600000000000025,-0.8579999999999997,-5.3,-5.747999999999999,-2.1800000000000015,-17.561,2.1320000000000006,9.913,-4.3519999999999985,-13.301,-10.088000000000001,-4.457999999999998,-5.530000000000003,-8.423,-29.051,14.781,3.356,24.116,1.022999999999999,-24.014,-4.585000000000001,5.643,-8.327,-5.110999999999999,9.799,2.9209999999999985,17.933,-5.567000000000002,19.65,-6.721,-0.4510000000000005,12.593,-6.148,-1.7070000000000007,8.567,5.369000000000001,18.384,-10.336000000000002,8.515,16.273,-21.865000000000002,8.32,-4.987,6.771000000000001,-7.851000000000002,12.671000000000001,-2.987
ETHUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.6080000000000003,-2.0519999999999996,1.316,3.856,4.475,1.0680000000000003,3.5280000000000005,6.423,4.061,0.9570000000000005,5.510000000000001,1.311,3.4690000000000003,-4.303,-0.13699999999999946,0.006000000000000449,2.5589999999999997,8.654,7.015000000000001,-0.7049999999999998,1.9180000000000006,-8.451,8.474,0.0760000000000001,-1.1350000000000002,-0.23299999999999987,1.205
LTCUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.696,2.556,0.21399999999999952,1.3759999999999997,-1.9669999999999996,2.2360000000000007,0.9839999999999998,-5.219,6.875,2.8150000000000004,0.0,-0.40799999999999925,-4.897
SHIB1000USDT,7.005,8.919000000000002,-2.925000000000001,-1.8830000000000018,-2.8019999999999974,3.7700000000000022,-6.289999999999997,1.9659999999999995,-7.034000000000001,1.262,10.075000000000001,-10.347999999999999,-21.941000000000003,3.0989999999999984,7.615,-2.410000000000001,-14.052,11.902000000000001,-17.865000000000002,13.895999999999999,-7.973999999999998,2.7149999999999994,-11.597999999999999,20.764999999999997,-1.4669999999999996,-17.141,11.17,0.8420000000000016,2.754000000000001,-2.9750000000000014,4.184,6.091,-4.484000000000001,6.308999999999999,-5.771000000000001,0.39499999999999846,5.385,7.678999999999999,-2.5390000000000015,4.004,14.019,1.2109999999999985,6.577000000000002,-0.3199999999999987,18.302,25.243000000000002,-20.686,-2.327000000000001,12.440000000000001,12.934,0.3079999999999994,-4.855999999999999,-9.086000000000002
